Precinct	Votes	votes|Adolfo Mondragon	pct|Adolfo Mondragon	votes|Raymond A. Lopez	pct|Raymond A. Lopez	votes|Rafael Yanez	pct|Rafael Yanez	votes|Eddie L. Daniels	pct|Eddie L. Daniels	votes|Otis Davis, Jr.	pct|Otis Davis, Jr.	votes|Raul O. Reyes	pct|Raul O. Reyes
15001	223	12	5.38	110	49.33	85	38.12	1	0.45	2	0.90	13	5.83
15002	137	1	0.73	56	40.88	3	2.19	34	24.82	35	25.55	8	5.84
15003	152	4	2.63	88	57.89	3	1.97	23	15.13	30	19.74	4	2.63
15004	221	19	8.60	125	56.56	53	23.98	1	0.45	1	0.45	22	9.95
15005	183	12	6.56	42	22.95	103	56.28	2	1.09	2	1.09	22	12.02
15006	219	30	13.70	122	55.71	52	23.74	3	1.37	0	0	12	5.48
15007	180	3	1.67	86	47.78	10	5.56	29	16.11	41	22.78	11	6.11
15008	217	10	4.61	163	75.12	31	14.29	3	1.38	0	0	10	4.61
15009	267	16	5.99	187	70.04	47	17.60	0	0	0	0	17	6.37
15010	239	60	25.10	113	47.28	43	17.99	3	1.26	4	1.67	16	6.69
15011	229	49	21.40	110	48.03	55	24.02	0	0	3	1.31	12	5.24
15012	252	13	5.16	149	59.13	73	28.97	1	0.40	0	0	16	6.35
15013	177	5	2.82	46	25.99	99	55.93	0	0	4	2.26	23	12.99
15014	142	7	4.93	34	23.94	71	50.00	1	0.70	4	2.82	25	17.61
15015	158	3	1.90	42	26.58	84	53.16	1	0.63	8	5.06	20	12.66
15016	212	5	2.36	144	67.92	37	17.45	4	1.89	5	2.36	17	8.02
15017	188	6	3.19	68	36.17	16	8.51	37	19.68	52	27.66	9	4.79
15018	156	3	1.92	82	52.56	8	5.13	20	12.82	38	24.36	5	3.21
15019	206	5	2.43	64	31.07	81	39.32	3	1.46	25	12.14	28	13.59
15020	162	7	4.32	55	33.95	12	7.41	39	24.07	47	29.01	2	1.23
15021	156	4	2.56	72	46.15	8	5.13	27	17.31	34	21.79	11	7.05
15022	170	2	1.18	61	35.88	7	4.12	30	17.65	67	39.41	3	1.76
15023	168	2	1.19	85	50.60	18	10.71	13	7.74	36	21.43	14	8.33
15024	136	2	1.47	64	47.06	8	5.88	34	25.00	24	17.65	4	2.94
