Precinct	Votes	votes|Jason C. Ervin	pct|Jason C. Ervin
28001	106	106	100.00
28002	122	122	100.00
28003	107	107	100.00
28004	106	106	100.00
28005	111	111	100.00
28006	104	104	100.00
28007	142	142	100.00
28008	78	78	100.00
28009	156	156	100.00
28010	150	150	100.00
28011	191	191	100.00
28012	168	168	100.00
28013	172	172	100.00
28014	175	175	100.00
28015	65	65	100.00
28016	88	88	100.00
28017	135	135	100.00
28018	137	137	100.00
28019	116	116	100.00
28020	136	136	100.00
28021	128	128	100.00
28022	119	119	100.00
28023	172	172	100.00
28024	125	125	100.00
28025	195	195	100.00
28026	165	165	100.00
28027	135	135	100.00
28028	158	158	100.00
28029	65	65	100.00
28030	25	25	100.00
28031	214	214	100.00
28032	150	150	100.00
28033	178	178	100.00
28034	211	211	100.00
28035	163	163	100.00
28036	107	107	100.00
28037	196	196	100.00
28038	92	92	100.00
28039	103	103	100.00
28040	179	179	100.00
28041	126	126	100.00
28042	145	145	100.00
28043	172	172	100.00
28044	95	95	100.00
28045	96	96	100.00
28046	199	199	100.00
