Precinct	Votes	votes|Carrie M. Austin	pct|Carrie M. Austin	votes|Henry Moses	pct|Henry Moses	votes|Shirley J. White	pct|Shirley J. White	votes|Charles R. Thomas Sr.	pct|Charles R. Thomas Sr.
34001	302	214	70.86	27	8.94	52	17.22	9	2.98
34002	241	147	61.00	33	13.69	51	21.16	10	4.15
34003	251	162	64.54	23	9.16	38	15.14	28	11.16
34004	198	101	51.01	49	24.75	41	20.71	7	3.54
34005	227	150	66.08	34	14.98	28	12.33	15	6.61
34006	310	209	67.42	38	12.26	38	12.26	25	8.06
34007	292	218	74.66	26	8.90	37	12.67	11	3.77
34008	184	117	63.59	26	14.13	34	18.48	7	3.80
34009	191	120	62.83	20	10.47	31	16.23	20	10.47
34010	248	160	64.52	25	10.08	52	20.97	11	4.44
34011	196	100	51.02	21	10.71	63	32.14	12	6.12
34012	279	158	56.63	65	23.30	45	16.13	11	3.94
34013	256	122	47.66	18	7.03	103	40.23	13	5.08
34014	189	107	56.61	33	17.46	34	17.99	15	7.94
34015	171	90	52.63	21	12.28	46	26.90	14	8.19
34016	190	106	55.79	22	11.58	40	21.05	22	11.58
34017	298	174	58.39	8	2.68	108	36.24	8	2.68
34018	184	105	57.07	38	20.65	29	15.76	12	6.52
34019	238	130	54.62	9	3.78	93	39.08	6	2.52
34020	322	202	62.73	50	15.53	51	15.84	19	5.90
34021	343	251	73.18	21	6.12	60	17.49	11	3.21
34022	266	158	59.40	49	18.42	46	17.29	13	4.89
34023	212	129	60.85	13	6.13	57	26.89	13	6.13
34024	208	124	59.62	51	24.52	23	11.06	10	4.81
34025	297	191	64.31	22	7.41	67	22.56	17	5.72
34026	277	176	63.54	30	10.83	45	16.25	26	9.39
34027	211	99	46.92	68	32.23	32	15.17	12	5.69
34028	156	112	71.79	17	10.90	22	14.10	5	3.21
34029	195	107	54.87	20	10.26	56	28.72	12	6.15
34030	283	170	60.07	58	20.49	37	13.07	18	6.36
34031	177	105	59.32	9	5.08	47	26.55	16	9.04
34032	237	125	52.74	15	6.33	91	38.40	6	2.53
34033	207	128	61.84	30	14.49	28	13.53	21	10.14
34034	272	173	63.60	30	11.03	62	22.79	7	2.57
34035	256	124	48.44	30	11.72	91	35.55	11	4.30
34036	255	154	60.39	35	13.73	49	19.22	17	6.67
34037	150	87	58.00	17	11.33	25	16.67	21	14.00
34038	145	94	64.83	16	11.03	16	11.03	19	13.10
34039	180	113	62.78	38	21.11	19	10.56	10	5.56
34040	262	150	57.25	22	8.40	46	17.56	44	16.79
34041	179	96	53.63	7	3.91	70	39.11	6	3.35
34042	269	165	61.34	30	11.15	57	21.19	17	6.32
34043	252	163	64.68	20	7.94	60	23.81	9	3.57
34044	251	157	62.55	13	5.18	59	23.51	22	8.76
34045	263	172	65.40	39	14.83	47	17.87	5	1.90
34046	176	109	61.93	17	9.66	45	25.57	5	2.84
34047	221	108	48.87	3	1.36	103	46.61	7	3.17
34048	296	204	68.92	21	7.09	60	20.27	11	3.72
34049	306	204	66.67	18	5.88	64	20.92	20	6.54
34050	209	126	60.29	12	5.74	49	23.44	22	10.53
34051	307	220	71.66	12	3.91	23	7.49	52	16.94
34052	216	159	73.61	21	9.72	31	14.35	5	2.31
34053	129	65	50.39	10	7.75	50	38.76	4	3.10
