Precinct	Votes	votes|Jerry Paszek	pct|Jerry Paszek	votes|Tom Caravette	pct|Tom Caravette	votes|Heather Sattler	pct|Heather Sattler	votes|Nicholas Sposato	pct|Nicholas Sposato	votes|Michael C. Duda	pct|Michael C. Duda	votes|Carmen Hernandez	pct|Carmen Hernandez	votes|Belinda Cadiz	pct|Belinda Cadiz
38001	235	26	11.06	31	13.19	97	41.28	46	19.57	4	1.70	11	4.68	20	8.51
38002	409	8	1.96	6	1.47	9	2.20	365	89.24	21	5.13	0	0	0	0
38003	243	23	9.47	8	3.29	41	16.87	134	55.14	17	7.00	10	4.12	10	4.12
38004	301	22	7.31	4	1.33	21	6.98	224	74.42	18	5.98	11	3.65	1	0.33
38005	288	22	7.64	4	1.39	11	3.82	235	81.60	7	2.43	7	2.43	2	0.69
38006	260	18	6.92	5	1.92	10	3.85	190	73.08	20	7.69	15	5.77	2	0.77
38007	316	19	6.01	5	1.58	14	4.43	192	60.76	78	24.68	3	0.95	5	1.58
38008	255	61	23.92	14	5.49	21	8.24	139	54.51	9	3.53	10	3.92	1	0.39
38009	330	26	7.88	8	2.42	19	5.76	228	69.09	40	12.12	6	1.82	3	0.91
38010	219	21	9.59	2	0.91	27	12.33	138	63.01	11	5.02	15	6.85	5	2.28
38011	224	37	16.52	34	15.18	57	25.45	73	32.59	7	3.13	10	4.46	6	2.68
38012	320	16	5.00	6	1.88	18	5.63	265	82.81	10	3.13	4	1.25	1	0.31
38013	311	13	4.18	13	4.18	18	5.79	234	75.24	14	4.50	11	3.54	8	2.57
38014	260	28	10.77	52	20.00	41	15.77	108	41.54	11	4.23	6	2.31	14	5.38
38015	229	34	14.85	25	10.92	56	24.45	68	29.69	14	6.11	24	10.48	8	3.49
38016	279	27	9.68	4	1.43	22	7.89	195	69.89	18	6.45	11	3.94	2	0.72
38017	338	18	5.33	5	1.48	16	4.73	259	76.63	30	8.88	5	1.48	5	1.48
38018	277	30	10.83	24	8.66	89	32.13	100	36.10	7	2.53	6	2.17	21	7.58
38019	268	30	11.19	24	8.96	76	28.36	95	35.45	21	7.84	14	5.22	8	2.99
38020	283	17	6.01	2	0.71	17	6.01	217	76.68	22	7.77	4	1.41	4	1.41
38021	221	24	10.86	29	13.12	39	17.65	82	37.10	18	8.14	20	9.05	9	4.07
38022	242	25	10.33	23	9.50	57	23.55	95	39.26	11	4.55	10	4.13	21	8.68
38023	292	44	15.07	18	6.16	68	23.29	116	39.73	10	3.42	24	8.22	12	4.11
38024	364	13	3.57	6	1.65	13	3.57	213	58.52	106	29.12	9	2.47	4	1.10
38025	206	32	15.53	29	14.08	48	23.30	61	29.61	11	5.34	3	1.46	22	10.68
38026	262	31	11.83	21	8.02	68	25.95	96	36.64	21	8.02	16	6.11	9	3.44
38027	287	24	8.36	3	1.05	10	3.48	214	74.56	26	9.06	7	2.44	3	1.05
38028	349	24	6.88	4	1.15	31	8.88	258	73.93	22	6.30	1	0.29	9	2.58
38029	252	22	8.73	4	1.59	17	6.75	175	69.44	28	11.11	6	2.38	0	0
38030	293	29	9.90	0	0	8	2.73	208	70.99	32	10.92	8	2.73	8	2.73
38031	283	24	8.48	26	9.19	118	41.70	95	33.57	4	1.41	7	2.47	9	3.18
38032	221	32	14.48	13	5.88	64	28.96	85	38.46	10	4.52	6	2.71	11	4.98
38033	223	31	13.90	37	16.59	50	22.42	78	34.98	11	4.93	9	4.04	7	3.14
38034	224	44	19.64	16	7.14	50	22.32	74	33.04	4	1.79	30	13.39	6	2.68
38035	255	72	28.24	13	5.10	50	19.61	85	33.33	5	1.96	28	10.98	2	0.78
38036	219	20	9.13	43	19.63	66	30.14	63	28.77	7	3.20	14	6.39	6	2.74
38037	279	53	19.00	16	5.73	76	27.24	84	30.11	16	5.73	28	10.04	6	2.15
38038	250	54	21.60	8	3.20	25	10.00	126	50.40	24	9.60	12	4.80	1	0.40
38039	293	44	15.02	22	7.51	58	19.80	132	45.05	11	3.75	19	6.48	7	2.39
38040	259	45	17.37	41	15.83	64	24.71	82	31.66	3	1.16	13	5.02	11	4.25
38041	264	22	8.33	14	5.30	149	56.44	65	24.62	4	1.52	9	3.41	1	0.38
