Precinct	Votes	votes|Leslie A. Hairston	pct|Leslie A. Hairston	votes|Tiffany N. Brooks	pct|Tiffany N. Brooks	votes|Jocelyn Hare	pct|Jocelyn Hare	votes|Robin Boyd Clark	pct|Robin Boyd Clark	votes|Jedidiah L. Brown	pct|Jedidiah L. Brown	votes|Anne Marie Miles	pct|Anne Marie Miles
05001	220	95	43.18	30	13.64	6	2.73	11	5.00	36	16.36	42	19.09
05002	219	110	50.23	52	23.74	3	1.37	6	2.74	28	12.79	20	9.13
05003	247	138	55.87	6	2.43	28	11.34	11	4.45	4	1.62	60	24.29
05004	280	158	56.43	13	4.64	39	13.93	13	4.64	15	5.36	42	15.00
05005	276	141	51.09	56	20.29	14	5.07	17	6.16	21	7.61	27	9.78
05006	246	101	41.06	45	18.29	6	2.44	21	8.54	38	15.45	35	14.23
05007	248	152	61.29	7	2.82	32	12.90	9	3.63	9	3.63	39	15.73
05008	287	138	48.08	8	2.79	38	13.24	4	1.39	8	2.79	91	31.71
05009	307	160	52.12	7	2.28	37	12.05	13	4.23	40	13.03	50	16.29
05010	218	105	48.17	31	14.22	8	3.67	11	5.05	34	15.60	29	13.30
05011	325	197	60.62	6	1.85	31	9.54	7	2.15	10	3.08	74	22.77
05012	193	98	50.78	41	21.24	5	2.59	12	6.22	16	8.29	21	10.88
05013	247	130	52.63	35	14.17	20	8.10	5	2.02	27	10.93	30	12.15
05014	313	142	45.37	62	19.81	8	2.56	21	6.71	34	10.86	46	14.70
05015	257	156	60.70	16	6.23	24	9.34	4	1.56	13	5.06	44	17.12
05016	257	154	59.92	32	12.45	21	8.17	8	3.11	11	4.28	31	12.06
05017	211	119	56.40	17	8.06	5	2.37	13	6.16	23	10.90	34	16.11
05018	252	140	55.56	7	2.78	41	16.27	8	3.17	11	4.37	45	17.86
05019	294	169	57.48	1	0.34	23	7.82	6	2.04	9	3.06	86	29.25
05020	329	208	63.22	9	2.74	42	12.77	9	2.74	16	4.86	45	13.68
05021	254	137	53.94	6	2.36	29	11.42	9	3.54	13	5.12	60	23.62
05022	354	189	53.39	6	1.69	45	12.71	11	3.11	12	3.39	91	25.71
05023	438	232	52.97	7	1.60	60	13.70	7	1.60	14	3.20	118	26.94
05024	260	139	53.46	10	3.85	33	12.69	6	2.31	22	8.46	50	19.23
05025	281	146	51.96	31	11.03	6	2.14	24	8.54	22	7.83	52	18.51
05026	249	106	42.57	20	8.03	6	2.41	35	14.06	21	8.43	61	24.50
05027	216	100	46.30	1	0.46	27	12.50	6	2.78	6	2.78	76	35.19
05028	331	189	57.10	26	7.85	4	1.21	37	11.18	38	11.48	37	11.18
05029	333	133	39.94	38	11.41	11	3.30	56	16.82	34	10.21	61	18.32
05030	179	95	53.07	15	8.38	15	8.38	9	5.03	18	10.06	27	15.08
05031	219	109	49.77	25	11.42	3	1.37	18	8.22	31	14.16	33	15.07
05032	347	173	49.86	29	8.36	12	3.46	34	9.80	21	6.05	78	22.48
05033	317	177	55.84	46	14.51	18	5.68	12	3.79	13	4.10	51	16.09
05034	313	154	49.20	4	1.28	33	10.54	5	1.60	10	3.19	107	34.19
05035	304	158	51.97	2	0.66	26	8.55	9	2.96	9	2.96	100	32.89
05036	207	90	43.48	60	28.99	0	0	18	8.70	21	10.14	18	8.70
05037	351	203	57.83	9	2.56	19	5.41	13	3.70	9	2.56	98	27.92
05038	246	117	47.56	37	15.04	7	2.85	37	15.04	36	14.63	12	4.88
05039	262	147	56.11	12	4.58	17	6.49	5	1.91	9	3.44	72	27.48
05040	250	124	49.60	25	10.00	6	2.40	30	12.00	25	10.00	40	16.00
05041	198	122	61.62	1	0.51	13	6.57	9	4.55	5	2.53	48	24.24
