Precinct	Votes	votes|Michelle A. Harris	pct|Michelle A. Harris	votes|Faheem Shabazz	pct|Faheem Shabazz	votes|Tara F. Baldridge	pct|Tara F. Baldridge
08001	174	117	67.24	35	20.11	22	12.64
08002	210	137	65.24	34	16.19	39	18.57
08003	322	234	72.67	21	6.52	67	20.81
08004	295	241	81.69	30	10.17	24	8.14
08005	333	213	63.96	54	16.22	66	19.82
08006	260	167	64.23	42	16.15	51	19.62
08007	317	217	68.45	72	22.71	28	8.83
08008	297	203	68.35	26	8.75	68	22.90
08009	178	122	68.54	44	24.72	12	6.74
08010	354	232	65.54	44	12.43	78	22.03
08011	248	181	72.98	48	19.35	19	7.66
08012	224	139	62.05	48	21.43	37	16.52
08013	277	166	59.93	77	27.80	34	12.27
08014	123	75	60.98	29	23.58	19	15.45
08015	213	168	78.87	25	11.74	20	9.39
08016	67	46	68.66	14	20.90	7	10.45
08017	243	186	76.54	27	11.11	30	12.35
08018	199	149	74.87	29	14.57	21	10.55
08019	341	238	69.79	44	12.90	59	17.30
08020	278	186	66.91	54	19.42	38	13.67
08021	276	154	55.80	52	18.84	70	25.36
08022	233	155	66.52	52	22.32	26	11.16
08023	202	139	68.81	26	12.87	37	18.32
08024	166	88	53.01	61	36.75	17	10.24
08025	222	162	72.97	23	10.36	37	16.67
08026	221	174	78.73	20	9.05	27	12.22
08027	297	199	67.00	47	15.82	51	17.17
08028	270	187	69.26	48	17.78	35	12.96
08029	281	178	63.35	51	18.15	52	18.51
08030	278	191	68.71	37	13.31	50	17.99
08031	200	137	68.50	27	13.50	36	18.00
08032	215	177	82.33	24	11.16	14	6.51
08033	248	145	58.47	28	11.29	75	30.24
08034	254	174	68.50	48	18.90	32	12.60
08035	304	180	59.21	31	10.20	93	30.59
08036	275	202	73.45	54	19.64	19	6.91
08037	247	155	62.75	53	21.46	39	15.79
08038	171	104	60.82	39	22.81	28	16.37
08039	263	204	77.57	36	13.69	23	8.75
08040	188	121	64.36	25	13.30	42	22.34
08041	252	166	65.87	47	18.65	39	15.48
08042	306	216	70.59	55	17.97	35	11.44
08043	115	82	71.30	24	20.87	9	7.83
08044	177	138	77.97	19	10.73	20	11.30
08045	176	120	68.18	21	11.93	35	19.89
08046	194	119	61.34	62	31.96	13	6.70
08047	220	171	77.73	28	12.73	21	9.55
08048	212	137	64.62	38	17.92	37	17.45
08049	262	186	70.99	31	11.83	45	17.18
08050	301	231	76.74	30	9.97	40	13.29
08051	286	176	61.54	36	12.59	74	25.87
08052	360	260	72.22	39	10.83	61	16.94
08053	150	88	58.67	42	28.00	20	13.33
08054	162	107	66.05	28	17.28	27	16.67
08055	160	125	78.13	19	11.88	16	10.00
08056	279	202	72.40	15	5.38	62	22.22
