Precinct	Votes	votes|Gabe Beukinga	pct|Gabe Beukinga	votes|Walter Burnett, Jr.	pct|Walter Burnett, Jr.
27001	142	53	37.32	89	62.68
27002	252	68	26.98	184	73.02
27003	115	30	26.09	85	73.91
27004	108	31	28.70	77	71.30
27005	153	40	26.14	113	73.86
27006	166	58	34.94	108	65.06
27007	214	92	42.99	122	57.01
27008	158	31	19.62	127	80.38
27009	94	53	56.38	41	43.62
27010	259	41	15.83	218	84.17
27011	136	43	31.62	93	68.38
27012	109	52	47.71	57	52.29
27013	324	59	18.21	265	81.79
27014	104	17	16.35	87	83.65
27015	135	30	22.22	105	77.78
27016	150	70	46.67	80	53.33
27017	201	42	20.90	159	79.10
27018	171	34	19.88	137	80.12
27019	141	38	26.95	103	73.05
27020	133	26	19.55	107	80.45
27021	153	73	47.71	80	52.29
27022	128	18	14.06	110	85.94
27023	172	24	13.95	148	86.05
27024	141	36	25.53	105	74.47
27025	170	43	25.29	127	74.71
27026	200	45	22.50	155	77.50
27027	192	32	16.67	160	83.33
27028	113	29	25.66	84	74.34
27029	146	37	25.34	109	74.66
27030	123	21	17.07	102	82.93
27031	159	38	23.90	121	76.10
27032	155	31	20.00	124	80.00
27033	155	55	35.48	100	64.52
27034	205	31	15.12	174	84.88
27035	159	59	37.11	100	62.89
27036	136	33	24.26	103	75.74
27037	251	56	22.31	195	77.69
27038	331	74	22.36	257	77.64
27039	169	41	24.26	128	75.74
27040	223	62	27.80	161	72.20
27041	218	55	25.23	163	74.77
27042	138	38	27.54	100	72.46
27043	154	55	35.71	99	64.29
27044	165	21	12.73	144	87.27
27045	198	109	55.05	89	44.95
27046	129	34	26.36	95	73.64
27047	200	43	21.50	157	78.50
27048	235	49	20.85	186	79.15
27049	127	20	15.75	107	84.25
27050	175	31	17.71	144	82.29
