Precinct	Votes	votes|Deborah L. Graham	pct|Deborah L. Graham	votes|Lawrence Andolino	pct|Lawrence Andolino	votes|Bob Galhotra	pct|Bob Galhotra	votes|Chris Taliaferro	pct|Chris Taliaferro	votes|Lacoulton J. Walls	pct|Lacoulton J. Walls	votes|Zerlina A. Smith	pct|Zerlina A. Smith	votes|Oddis ''O.J'' Johnson	pct|Oddis ''O.J'' Johnson	votes|Stephen Robinson	pct|Stephen Robinson
29001	338	55	16.27	187	55.33	34	10.06	42	12.43	1	0.30	8	2.37	0	0	11	3.25
29002	360	175	48.61	5	1.39	5	1.39	95	26.39	43	11.94	29	8.06	4	1.11	4	1.11
29003	265	132	49.81	1	0.38	2	0.75	88	33.21	10	3.77	25	9.43	1	0.38	6	2.26
29004	266	128	48.12	6	2.26	3	1.13	59	22.18	3	1.13	10	3.76	42	15.79	15	5.64
29005	216	85	39.35	5	2.31	4	1.85	52	24.07	34	15.74	11	5.09	16	7.41	9	4.17
29006	179	105	58.66	4	2.23	7	3.91	27	15.08	8	4.47	18	10.06	6	3.35	4	2.23
29007	243	59	24.28	65	26.75	26	10.70	62	25.51	5	2.06	11	4.53	3	1.23	12	4.94
29008	132	81	61.36	4	3.03	1	0.76	26	19.70	6	4.55	7	5.30	4	3.03	3	2.27
29009	349	43	12.32	192	55.01	62	17.77	31	8.88	4	1.15	2	0.57	7	2.01	8	2.29
29010	382	47	12.30	208	54.45	31	8.12	60	15.71	2	0.52	6	1.57	3	0.79	25	6.54
29011	132	55	41.67	3	2.27	6	4.55	32	24.24	24	18.18	6	4.55	4	3.03	2	1.52
29012	276	93	33.70	19	6.88	16	5.80	95	34.42	7	2.54	18	6.52	16	5.80	12	4.35
29013	235	135	57.45	6	2.55	3	1.28	45	19.15	2	0.85	9	3.83	19	8.09	16	6.81
29014	268	114	42.54	4	1.49	4	1.49	86	32.09	19	7.09	27	10.07	3	1.12	11	4.10
29015	290	139	47.93	9	3.10	5	1.72	100	34.48	13	4.48	9	3.10	9	3.10	6	2.07
29016	279	197	70.61	0	0	2	0.72	40	14.34	7	2.51	25	8.96	5	1.79	3	1.08
29017	199	131	65.83	3	1.51	2	1.01	30	15.08	10	5.03	7	3.52	9	4.52	7	3.52
29018	224	137	61.16	4	1.79	3	1.34	43	19.20	15	6.70	14	6.25	4	1.79	4	1.79
29019	246	108	43.90	1	0.41	2	0.81	86	34.96	25	10.16	16	6.50	7	2.85	1	0.41
29020	306	168	54.90	10	3.27	6	1.96	41	13.40	59	19.28	9	2.94	7	2.29	6	1.96
29021	237	141	59.49	4	1.69	3	1.27	27	11.39	30	12.66	21	8.86	7	2.95	4	1.69
29022	178	91	51.12	11	6.18	9	5.06	36	20.22	8	4.49	10	5.62	7	3.93	6	3.37
29023	254	31	12.20	91	35.83	97	38.19	24	9.45	1	0.39	6	2.36	1	0.39	3	1.18
29024	199	99	49.75	9	4.52	3	1.51	50	25.13	6	3.02	7	3.52	14	7.04	11	5.53
29025	281	133	47.33	5	1.78	6	2.14	68	24.20	5	1.78	8	2.85	29	10.32	27	9.61
29026	262	139	53.05	8	3.05	12	4.58	78	29.77	8	3.05	10	3.82	1	0.38	6	2.29
29027	233	104	44.64	3	1.29	3	1.29	44	18.88	14	6.01	10	4.29	37	15.88	18	7.73
29028	307	127	41.37	3	0.98	4	1.30	125	40.72	2	0.65	38	12.38	6	1.95	2	0.65
29029	216	13	6.02	81	37.50	45	20.83	67	31.02	4	1.85	3	1.39	1	0.46	2	0.93
29030	322	121	37.58	89	27.64	61	18.94	19	5.90	13	4.04	9	2.80	3	0.93	7	2.17
29031	217	16	7.37	104	47.93	45	20.74	42	19.35	5	2.30	1	0.46	0	0	4	1.84
29032	203	12	5.91	88	43.35	27	13.30	64	31.53	3	1.48	3	1.48	3	1.48	3	1.48
29033	227	140	61.67	5	2.20	5	2.20	46	20.26	14	6.17	9	3.96	6	2.64	2	0.88
29034	158	95	60.13	10	6.33	21	13.29	17	10.76	5	3.16	7	4.43	1	0.63	2	1.27
29035	166	97	58.43	2	1.20	4	2.41	24	14.46	8	4.82	14	8.43	10	6.02	7	4.22
29036	227	113	49.78	5	2.20	2	0.88	81	35.68	9	3.96	7	3.08	8	3.52	2	0.88
29037	217	134	61.75	6	2.76	4	1.84	41	18.89	12	5.53	8	3.69	4	1.84	8	3.69
29038	186	36	19.35	66	35.48	61	32.80	16	8.60	1	0.54	1	0.54	1	0.54	4	2.15
29039	182	24	13.19	84	46.15	24	13.19	34	18.68	5	2.75	6	3.30	0	0	5	2.75
29040	286	124	43.36	7	2.45	8	2.80	85	29.72	5	1.75	16	5.59	28	9.79	13	4.55
29041	236	109	46.19	4	1.69	2	0.85	48	20.34	6	2.54	8	3.39	32	13.56	27	11.44
29042	236	124	52.54	2	0.85	2	0.85	64	27.12	9	3.81	21	8.90	9	3.81	5	2.12
29043	313	58	18.53	121	38.66	45	14.38	69	22.04	0	0	6	1.92	5	1.60	9	2.88
29044	299	127	42.47	5	1.67	5	1.67	126	42.14	16	5.35	9	3.01	7	2.34	4	1.34
