Precinct	Votes	votes|Stephen Niketopoulos	pct|Stephen Niketopoulos	votes|Bita Buenrostro	pct|Bita Buenrostro	votes|Brian Hopkins	pct|Brian Hopkins	votes|Alyx S. Pattison	pct|Alyx S. Pattison	votes|Cornell Wilson	pct|Cornell Wilson	votes|Stacey Pfingsten	pct|Stacey Pfingsten
02001	182	48	26.37	26	14.29	47	25.82	44	24.18	5	2.75	12	6.59
02002	237	5	2.11	18	7.59	118	49.79	64	27.00	20	8.44	12	5.06
02003	184	56	30.43	15	8.15	27	14.67	53	28.80	13	7.07	20	10.87
02004	201	82	40.80	25	12.44	19	9.45	35	17.41	17	8.46	23	11.44
02005	191	40	20.94	45	23.56	34	17.80	42	21.99	12	6.28	18	9.42
02006	188	29	15.43	22	11.70	66	35.11	37	19.68	17	9.04	17	9.04
02007	185	29	15.68	27	14.59	49	26.49	43	23.24	19	10.27	18	9.73
02008	187	43	22.99	17	9.09	58	31.02	34	18.18	15	8.02	20	10.70
02009	163	19	11.66	16	9.82	51	31.29	48	29.45	17	10.43	12	7.36
02010	247	9	3.64	10	4.05	152	61.54	57	23.08	11	4.45	8	3.24
02011	270	5	1.85	10	3.70	163	60.37	67	24.81	16	5.93	9	3.33
02012	238	29	12.18	61	25.63	45	18.91	42	17.65	45	18.91	16	6.72
02013	317	14	4.42	19	5.99	131	41.32	104	32.81	21	6.62	28	8.83
02014	286	154	53.85	24	8.39	29	10.14	47	16.43	10	3.50	22	7.69
02015	194	36	18.56	25	12.89	32	16.49	53	27.32	10	5.15	38	19.59
02016	155	40	25.81	20	12.90	31	20.00	40	25.81	14	9.03	10	6.45
02017	297	99	33.33	73	24.58	39	13.13	46	15.49	12	4.04	28	9.43
02018	227	11	4.85	16	7.05	99	43.61	62	27.31	18	7.93	21	9.25
02019	238	4	1.68	18	7.56	132	55.46	56	23.53	10	4.20	18	7.56
02020	152	13	8.55	9	5.92	21	13.82	50	32.89	7	4.61	52	34.21
02021	224	106	47.32	19	8.48	33	14.73	31	13.84	9	4.02	26	11.61
02022	270	20	7.41	29	10.74	69	25.56	67	24.81	9	3.33	76	28.15
02023	232	7	3.02	7	3.02	76	32.76	108	46.55	11	4.74	23	9.91
02024	192	22	11.46	25	13.02	27	14.06	52	27.08	12	6.25	54	28.13
02025	187	43	22.99	19	10.16	31	16.58	64	34.22	9	4.81	21	11.23
02026	196	14	7.14	33	16.84	41	20.92	36	18.37	20	10.20	52	26.53
02027	219	6	2.74	80	36.53	47	21.46	47	21.46	21	9.59	18	8.22
02028	234	29	12.39	34	14.53	70	29.91	52	22.22	20	8.55	29	12.39
02029	207	10	4.83	40	19.32	65	31.40	42	20.29	23	11.11	27	13.04
02030	204	11	5.39	25	12.25	77	37.75	44	21.57	22	10.78	25	12.25
02031	326	23	7.06	43	13.19	89	27.30	90	27.61	29	8.90	52	15.95
02032	163	12	7.36	36	22.09	38	23.31	37	22.70	24	14.72	16	9.82
02033	358	23	6.42	41	11.45	114	31.84	91	25.42	45	12.57	44	12.29
02034	237	9	3.80	22	9.28	80	33.76	95	40.08	15	6.33	16	6.75
02035	183	11	6.01	49	26.78	39	21.31	48	26.23	19	10.38	17	9.29
02036	207	14	6.76	39	18.84	44	21.26	39	18.84	22	10.63	49	23.67
02037	266	11	4.14	28	10.53	80	30.08	72	27.07	29	10.90	46	17.29
02038	264	9	3.41	47	17.80	78	29.55	71	26.89	28	10.61	31	11.74
02039	198	9	4.55	65	32.83	78	39.39	14	7.07	18	9.09	14	7.07
02040	163	6	3.68	22	13.50	53	32.52	34	20.86	28	17.18	20	12.27
02041	126	4	3.17	10	7.94	50	39.68	22	17.46	16	12.70	24	19.05
02042	198	14	7.07	70	35.35	36	18.18	27	13.64	36	18.18	15	7.58
02043	250	14	5.60	39	15.60	90	36.00	71	28.40	20	8.00	16	6.40
02044	147	10	6.80	13	8.84	47	31.97	44	29.93	13	8.84	20	13.61
02045	263	17	6.46	64	24.33	63	23.95	50	19.01	44	16.73	25	9.51
02046	116	13	11.21	16	13.79	31	26.72	32	27.59	12	10.34	12	10.34
