Precinct	Votes	votes|Margaret Laurino	pct|Margaret Laurino	votes|Robert Murphy	pct|Robert Murphy	votes|Joseph Laiacona	pct|Joseph Laiacona
39001	286	114	39.86	168	58.74	4	1.40
39002	338	244	72.19	76	22.49	18	5.33
39003	241	128	53.11	97	40.25	16	6.64
39004	286	148	51.75	136	47.55	2	0.70
39005	282	138	48.94	138	48.94	6	2.13
39006	245	132	53.88	94	38.37	19	7.76
39007	243	123	50.62	116	47.74	4	1.65
39008	306	200	65.36	100	32.68	6	1.96
39009	252	166	65.87	77	30.56	9	3.57
39010	131	67	51.15	55	41.98	9	6.87
39011	246	140	56.91	96	39.02	10	4.07
39012	277	140	50.54	119	42.96	18	6.50
39013	219	110	50.23	101	46.12	8	3.65
39014	194	115	59.28	74	38.14	5	2.58
39015	326	190	58.28	133	40.80	3	0.92
39016	170	111	65.29	51	30.00	8	4.71
39017	299	152	50.84	140	46.82	7	2.34
39018	253	106	41.90	144	56.92	3	1.19
39019	266	143	53.76	109	40.98	14	5.26
39020	323	197	60.99	109	33.75	17	5.26
39021	238	156	65.55	71	29.83	11	4.62
39022	169	69	40.83	91	53.85	9	5.33
39023	293	180	61.43	100	34.13	13	4.44
39024	388	224	57.73	147	37.89	17	4.38
39025	167	113	67.66	45	26.95	9	5.39
39026	279	174	62.37	95	34.05	10	3.58
39027	64	16	25.00	44	68.75	4	6.25
39028	303	128	42.24	128	42.24	47	15.51
39029	109	62	56.88	41	37.61	6	5.50
39030	299	110	36.79	176	58.86	13	4.35
39031	208	124	59.62	74	35.58	10	4.81
39032	233	135	57.94	87	37.34	11	4.72
39033	256	152	59.38	89	34.77	15	5.86
39034	246	146	59.35	78	31.71	22	8.94
39035	288	85	29.51	196	68.06	7	2.43
39036	105	76	72.38	23	21.90	6	5.71
39037	324	136	41.98	182	56.17	6	1.85
39038	178	98	55.06	78	43.82	2	1.12
39039	175	71	40.57	98	56.00	6	3.43
39040	237	159	67.09	77	32.49	1	0.42
39041	345	150	43.48	193	55.94	2	0.58
39042	318	142	44.65	170	53.46	6	1.89
39043	308	139	45.13	165	53.57	4	1.30
39044	240	110	45.83	123	51.25	7	2.92
39045	289	162	56.06	111	38.41	16	5.54
