Precinct	Votes	votes|Mark Thomas	pct|Mark Thomas	votes|Tom Tunney	pct|Tom Tunney	votes|Scott Davis	pct|Scott Davis
44001	361	88	24.38	246	68.14	27	7.48
44002	202	46	22.77	117	57.92	39	19.31
44003	265	30	11.32	224	84.53	11	4.15
44004	299	45	15.05	242	80.94	12	4.01
44005	207	53	25.60	134	64.73	20	9.66
44006	213	43	20.19	153	71.83	17	7.98
44007	231	43	18.61	171	74.03	17	7.36
44008	249	53	21.29	180	72.29	16	6.43
44009	163	37	22.70	103	63.19	23	14.11
44010	156	42	26.92	100	64.10	14	8.97
44011	200	42	21.00	123	61.50	35	17.50
44012	257	50	19.46	182	70.82	25	9.73
44013	165	44	26.67	102	61.82	19	11.52
44014	162	38	23.46	106	65.43	18	11.11
44015	201	50	24.88	130	64.68	21	10.45
44016	221	54	24.43	135	61.09	32	14.48
44017	298	65	21.81	202	67.79	31	10.40
44018	196	37	18.88	155	79.08	4	2.04
44019	281	105	37.37	158	56.23	18	6.41
44020	142	47	33.10	86	60.56	9	6.34
44021	220	57	25.91	148	67.27	15	6.82
44022	280	63	22.50	198	70.71	19	6.79
44023	160	36	22.50	108	67.50	16	10.00
44024	284	93	32.75	177	62.32	14	4.93
44025	187	35	18.72	122	65.24	30	16.04
44026	201	60	29.85	112	55.72	29	14.43
44027	219	40	18.26	155	70.78	24	10.96
44028	236	66	27.97	155	65.68	15	6.36
44029	189	38	20.11	136	71.96	15	7.94
44030	201	37	18.41	137	68.16	27	13.43
44031	186	42	22.58	121	65.05	23	12.37
44032	252	62	24.60	151	59.92	39	15.48
44033	203	54	26.60	134	66.01	15	7.39
44034	267	56	20.97	173	64.79	38	14.23
44035	336	70	20.83	248	73.81	18	5.36
44036	192	51	26.56	126	65.63	15	7.81
44037	259	85	32.82	149	57.53	25	9.65
44038	186	61	32.80	104	55.91	21	11.29
44039	164	46	28.05	106	64.63	12	7.32
44040	218	37	16.97	158	72.48	23	10.55
44041	224	52	23.21	159	70.98	13	5.80
