Precinct	Votes	votes|Rahm Emanuel	pct|Rahm Emanuel	votes|Willie Wilson	pct|Willie Wilson	votes|Robert W. Fioretti	pct|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	pct|Jesus ''Chuy'' Garcia	votes|William Walls, Iii	pct|William Walls, Iii
01001	195	62	31.79	5	2.56	11	5.64	115	58.97	2	1.03
01002	189	56	29.63	10	5.29	13	6.88	109	57.67	1	0.53
01003	208	95	45.67	3	1.44	15	7.21	94	45.19	1	0.48
01004	232	112	48.28	4	1.72	21	9.05	93	40.09	2	0.86
01005	169	90	53.25	4	2.37	10	5.92	64	37.87	1	0.59
01006	216	88	40.74	3	1.39	17	7.87	106	49.07	2	0.93
01007	154	60	38.96	2	1.30	15	9.74	72	46.75	5	3.25
01008	225	118	52.44	15	6.67	8	3.56	81	36.00	3	1.33
01009	198	87	43.94	12	6.06	13	6.57	86	43.43	0	0
01010	182	99	54.40	5	2.75	12	6.59	63	34.62	3	1.65
01011	180	73	40.56	2	1.11	16	8.89	87	48.33	2	1.11
01012	224	74	33.04	6	2.68	34	15.18	105	46.88	5	2.23
01013	100	39	39.00	2	2.00	4	4.00	54	54.00	1	1.00
01014	220	112	50.91	10	4.55	15	6.82	82	37.27	1	0.45
01015	194	49	25.26	9	4.64	24	12.37	110	56.70	2	1.03
01016	197	57	28.93	3	1.52	8	4.06	129	65.48	0	0
01017	206	73	35.44	9	4.37	11	5.34	110	53.40	3	1.46
01018	225	79	35.11	8	3.56	10	4.44	127	56.44	1	0.44
01019	302	100	33.11	0	0	14	4.64	184	60.93	4	1.32
01020	186	50	26.88	8	4.30	11	5.91	116	62.37	1	0.54
01021	174	89	51.15	4	2.30	5	2.87	71	40.80	5	2.87
01022	131	58	44.27	2	1.53	7	5.34	63	48.09	1	0.76
01023	303	100	33.00	6	1.98	22	7.26	174	57.43	1	0.33
01024	170	62	36.47	11	6.47	5	2.94	92	54.12	0	0
01025	157	49	31.21	9	5.73	10	6.37	86	54.78	3	1.91
01026	159	48	30.19	1	0.63	9	5.66	100	62.89	1	0.63
01027	170	74	43.53	7	4.12	14	8.24	73	42.94	2	1.18
01028	132	64	48.48	16	12.12	2	1.52	36	27.27	14	10.61
01029	224	105	46.88	10	4.46	16	7.14	90	40.18	3	1.34
01030	252	77	30.56	12	4.76	5	1.98	154	61.11	4	1.59
01031	209	99	47.37	10	4.78	10	4.78	87	41.63	3	1.44
01032	195	82	42.05	2	1.03	28	14.36	83	42.56	0	0
01033	233	100	42.92	7	3.00	19	8.15	105	45.06	2	0.86
01034	181	60	33.15	3	1.66	12	6.63	106	58.56	0	0
01035	221	98	44.34	4	1.81	20	9.05	94	42.53	5	2.26
01036	191	92	48.17	4	2.09	29	15.18	66	34.55	0	0
01037	206	94	45.63	1	0.49	28	13.59	82	39.81	1	0.49
01038	222	70	31.53	6	2.70	24	10.81	120	54.05	2	0.90
01039	178	70	39.33	1	0.56	14	7.87	93	52.25	0	0
01040	227	113	49.78	12	5.29	20	8.81	77	33.92	5	2.20
01041	152	46	30.26	2	1.32	5	3.29	96	63.16	3	1.97
01042	56	10	17.86	0	0	6	10.71	40	71.43	0	0
01043	170	62	36.47	8	4.71	12	7.06	81	47.65	7	4.12
01044	143	54	37.76	2	1.40	14	9.79	72	50.35	1	0.70
02001	186	90	48.39	8	4.30	12	6.45	76	40.86	0	0
02002	243	186	76.54	7	2.88	20	8.23	29	11.93	1	0.41
02003	194	95	48.97	7	3.61	16	8.25	72	37.11	4	2.06
02004	205	68	33.17	6	2.93	31	15.12	98	47.80	2	0.98
02005	202	75	37.13	6	2.97	18	8.91	102	50.50	1	0.50
02006	195	65	33.33	8	4.10	30	15.38	91	46.67	1	0.51
02007	196	106	54.08	9	4.59	13	6.63	67	34.18	1	0.51
02008	199	73	36.68	7	3.52	27	13.57	91	45.73	1	0.50
02009	168	125	74.40	3	1.79	11	6.55	28	16.67	1	0.60
02010	257	202	78.60	5	1.95	23	8.95	26	10.12	1	0.39
02011	272	219	80.51	2	0.74	14	5.15	35	12.87	2	0.74
02012	247	148	59.92	14	5.67	23	9.31	53	21.46	9	3.64
02013	338	237	70.12	6	1.78	33	9.76	60	17.75	2	0.59
02014	288	116	40.28	13	4.51	35	12.15	118	40.97	6	2.08
02015	205	99	48.29	13	6.34	19	9.27	69	33.66	5	2.44
02016	160	81	50.63	6	3.75	13	8.13	60	37.50	0	0
02017	302	156	51.66	9	2.98	23	7.62	111	36.75	3	0.99
02018	233	169	72.53	4	1.72	18	7.73	39	16.74	3	1.29
02019	250	205	82.00	6	2.40	7	2.80	30	12.00	2	0.80
02020	155	102	65.81	4	2.58	14	9.03	35	22.58	0	0
02021	233	107	45.92	3	1.29	17	7.30	105	45.06	1	0.43
02022	278	192	69.06	7	2.52	23	8.27	56	20.14	0	0
02023	248	208	83.87	2	0.81	3	1.21	35	14.11	0	0
02024	213	156	73.24	7	3.29	14	6.57	33	15.49	3	1.41
02025	198	106	53.54	3	1.52	25	12.63	63	31.82	1	0.51
02026	201	123	61.19	17	8.46	17	8.46	42	20.90	2	1.00
02027	231	176	76.19	7	3.03	16	6.93	29	12.55	3	1.30
02028	251	170	67.73	3	1.20	19	7.57	58	23.11	1	0.40
02029	220	160	72.73	5	2.27	12	5.45	42	19.09	1	0.45
02030	210	149	70.95	3	1.43	17	8.10	40	19.05	1	0.48
02031	342	264	77.19	8	2.34	22	6.43	48	14.04	0	0
02032	165	111	67.27	5	3.03	11	6.67	34	20.61	4	2.42
02033	374	269	71.93	4	1.07	36	9.63	62	16.58	3	0.80
02034	241	190	78.84	1	0.41	17	7.05	32	13.28	1	0.41
02035	193	139	72.02	7	3.63	16	8.29	29	15.03	2	1.04
02036	223	162	72.65	7	3.14	22	9.87	31	13.90	1	0.45
02037	273	168	61.54	10	3.66	29	10.62	66	24.18	0	0
02038	279	215	77.06	4	1.43	20	7.17	39	13.98	1	0.36
02039	213	143	67.14	19	8.92	15	7.04	32	15.02	4	1.88
02040	185	126	68.11	4	2.16	17	9.19	35	18.92	3	1.62
02041	132	91	68.94	5	3.79	13	9.85	22	16.67	1	0.76
02042	205	139	67.80	10	4.88	14	6.83	39	19.02	3	1.46
02043	271	204	75.28	8	2.95	21	7.75	38	14.02	0	0
02044	161	100	62.11	2	1.24	16	9.94	43	26.71	0	0
02045	277	161	58.12	31	11.19	22	7.94	59	21.30	4	1.44
02046	122	81	66.39	6	4.92	9	7.38	26	21.31	0	0
03001	300	107	35.67	80	26.67	11	3.67	73	24.33	29	9.67
03002	432	230	53.24	100	23.15	14	3.24	68	15.74	20	4.63
03003	261	157	60.15	35	13.41	14	5.36	47	18.01	8	3.07
03004	292	115	39.38	49	16.78	25	8.56	83	28.42	20	6.85
03005	194	88	45.36	64	32.99	9	4.64	30	15.46	3	1.55
03006	259	148	57.14	6	2.32	39	15.06	62	23.94	4	1.54
03007	272	116	42.65	67	24.63	23	8.46	49	18.01	17	6.25
03008	197	84	42.64	39	19.80	12	6.09	50	25.38	12	6.09
03009	296	127	42.91	65	21.96	14	4.73	77	26.01	13	4.39
03010	155	69	44.52	38	24.52	12	7.74	29	18.71	7	4.52
03011	252	94	37.30	58	23.02	18	7.14	66	26.19	16	6.35
03012	331	156	47.13	82	24.77	16	4.83	63	19.03	14	4.23
03013	303	174	57.43	14	4.62	39	12.87	70	23.10	6	1.98
03014	199	115	57.79	15	7.54	22	11.06	41	20.60	6	3.02
03015	233	85	36.48	64	27.47	16	6.87	45	19.31	23	9.87
03016	242	102	42.15	67	27.69	8	3.31	48	19.83	17	7.02
03017	263	123	46.77	39	14.83	25	9.51	63	23.95	13	4.94
03018	334	154	46.11	44	13.17	42	12.57	76	22.75	18	5.39
03019	226	127	56.19	7	3.10	52	23.01	40	17.70	0	0
03020	259	109	42.08	55	21.24	14	5.41	61	23.55	20	7.72
03021	306	165	53.92	26	8.50	46	15.03	61	19.93	8	2.61
03022	226	102	45.13	7	3.10	41	18.14	73	32.30	3	1.33
03023	246	128	52.03	47	19.11	12	4.88	36	14.63	23	9.35
03024	251	117	46.61	70	27.89	6	2.39	49	19.52	9	3.59
03025	290	198	68.28	9	3.10	29	10.00	54	18.62	0	0
03026	363	218	60.06	17	4.68	45	12.40	76	20.94	7	1.93
03027	225	112	49.78	5	2.22	50	22.22	55	24.44	3	1.33
03028	243	118	48.56	77	31.69	8	3.29	23	9.47	17	7.00
03029	274	123	44.89	77	28.10	11	4.01	52	18.98	11	4.01
03030	292	112	38.36	60	20.55	21	7.19	80	27.40	19	6.51
03031	299	143	47.83	67	22.41	12	4.01	64	21.40	13	4.35
03032	264	153	57.95	17	6.44	33	12.50	57	21.59	4	1.52
03033	186	99	53.23	10	5.38	33	17.74	42	22.58	2	1.08
03034	296	155	52.36	30	10.14	49	16.55	55	18.58	7	2.36
03035	121	48	39.67	18	14.88	19	15.70	26	21.49	10	8.26
03036	140	51	36.43	48	34.29	10	7.14	18	12.86	13	9.29
03037	220	89	40.45	51	23.18	6	2.73	53	24.09	21	9.55
03038	311	178	57.23	56	18.01	16	5.14	47	15.11	14	4.50
03039	212	143	67.45	4	1.89	28	13.21	36	16.98	1	0.47
03040	303	149	49.17	35	11.55	29	9.57	71	23.43	19	6.27
03041	277	142	51.26	49	17.69	25	9.03	42	15.16	19	6.86
04001	352	102	28.98	26	7.39	27	7.67	186	52.84	11	3.13
04002	279	168	60.22	14	5.02	32	11.47	61	21.86	4	1.43
04003	265	109	41.13	66	24.91	4	1.51	71	26.79	15	5.66
04004	352	144	40.91	82	23.30	16	4.55	88	25.00	22	6.25
04005	325	132	40.62	50	15.38	16	4.92	112	34.46	15	4.62
04006	408	215	52.70	62	15.20	39	9.56	81	19.85	11	2.70
04007	369	160	43.36	58	15.72	22	5.96	108	29.27	21	5.69
04008	363	132	36.36	84	23.14	14	3.86	110	30.30	23	6.34
04009	462	191	41.34	66	14.29	23	4.98	153	33.12	29	6.28
04010	343	150	43.73	55	16.03	22	6.41	99	28.86	17	4.96
04011	297	149	50.17	58	19.53	19	6.40	51	17.17	20	6.73
04012	289	111	38.41	45	15.57	15	5.19	94	32.53	24	8.30
04013	139	80	57.55	4	2.88	22	15.83	31	22.30	2	1.44
04014	307	115	37.46	55	17.92	46	14.98	74	24.10	17	5.54
04015	359	152	42.34	59	16.43	21	5.85	102	28.41	25	6.96
04016	232	144	62.07	4	1.72	24	10.34	58	25.00	2	0.86
04017	268	146	54.48	5	1.87	43	16.04	72	26.87	2	0.75
04018	312	149	47.76	58	18.59	17	5.45	74	23.72	14	4.49
04019	259	103	39.77	68	26.25	15	5.79	51	19.69	22	8.49
04020	292	149	51.03	8	2.74	51	17.47	77	26.37	7	2.40
04021	243	125	51.44	13	5.35	38	15.64	61	25.10	6	2.47
04022	323	162	50.15	30	9.29	14	4.33	100	30.96	17	5.26
04023	370	155	41.89	28	7.57	14	3.78	158	42.70	15	4.05
04024	262	116	44.27	29	11.07	18	6.87	83	31.68	16	6.11
04025	254	147	57.87	11	4.33	37	14.57	55	21.65	4	1.57
04026	332	139	41.87	76	22.89	21	6.33	81	24.40	15	4.52
04027	312	103	33.01	29	9.29	26	8.33	143	45.83	11	3.53
04028	329	148	44.98	49	14.89	28	8.51	83	25.23	21	6.38
04029	246	96	39.02	51	20.73	13	5.28	73	29.67	13	5.28
04030	346	167	48.27	76	21.97	16	4.62	66	19.08	21	6.07
04031	390	201	51.54	54	13.85	20	5.13	97	24.87	18	4.62
04032	281	123	43.77	53	18.86	14	4.98	76	27.05	15	5.34
04033	343	136	39.65	63	18.37	19	5.54	110	32.07	15	4.37
04034	270	105	38.89	56	20.74	15	5.56	72	26.67	22	8.15
04035	392	169	43.11	57	14.54	29	7.40	114	29.08	23	5.87
04036	344	121	35.17	55	15.99	48	13.95	90	26.16	30	8.72
04037	291	149	51.20	2	0.69	56	19.24	75	25.77	9	3.09
04038	358	166	46.37	44	12.29	28	7.82	106	29.61	14	3.91
05001	224	102	45.54	46	20.54	8	3.57	51	22.77	17	7.59
05002	223	96	43.05	48	21.52	6	2.69	56	25.11	17	7.62
05003	275	76	27.64	8	2.91	14	5.09	167	60.73	10	3.64
05004	293	128	43.69	27	9.22	26	8.87	100	34.13	12	4.10
05005	286	127	44.41	49	17.13	7	2.45	80	27.97	23	8.04
05006	251	103	41.04	56	22.31	9	3.59	72	28.69	11	4.38
05007	265	146	55.09	30	11.32	8	3.02	72	27.17	9	3.40
05008	303	143	47.19	6	1.98	10	3.30	143	47.19	1	0.33
05009	321	150	46.73	33	10.28	14	4.36	112	34.89	12	3.74
05010	220	83	37.73	46	20.91	11	5.00	64	29.09	16	7.27
05011	331	134	40.48	21	6.34	13	3.93	157	47.43	6	1.81
05012	200	73	36.50	50	25.00	9	4.50	60	30.00	8	4.00
05013	255	108	42.35	50	19.61	1	0.39	78	30.59	18	7.06
05014	314	137	43.63	48	15.29	15	4.78	88	28.03	26	8.28
05015	265	130	49.06	36	13.58	7	2.64	78	29.43	14	5.28
05016	268	126	47.01	55	20.52	14	5.22	53	19.78	20	7.46
05017	228	108	47.37	51	22.37	5	2.19	49	21.49	15	6.58
05018	262	106	40.46	25	9.54	15	5.73	98	37.40	18	6.87
05019	315	106	33.65	24	7.62	16	5.08	165	52.38	4	1.27
05020	341	156	45.75	29	8.50	19	5.57	125	36.66	12	3.52
05021	263	94	35.74	22	8.37	17	6.46	122	46.39	8	3.04
05022	368	221	60.05	24	6.52	12	3.26	103	27.99	8	2.17
05023	447	194	43.40	25	5.59	28	6.26	189	42.28	11	2.46
05024	290	94	32.41	32	11.03	17	5.86	136	46.90	11	3.79
05025	289	125	43.25	51	17.65	13	4.50	86	29.76	14	4.84
05026	258	118	45.74	46	17.83	12	4.65	67	25.97	15	5.81
05027	236	99	41.95	3	1.27	9	3.81	124	52.54	1	0.42
05028	336	141	41.96	59	17.56	19	5.65	96	28.57	21	6.25
05029	346	133	38.44	59	17.05	18	5.20	114	32.95	22	6.36
05030	190	73	38.42	46	24.21	11	5.79	48	25.26	12	6.32
05031	228	96	42.11	52	22.81	15	6.58	52	22.81	13	5.70
05032	349	153	43.84	45	12.89	24	6.88	105	30.09	22	6.30
05033	321	138	42.99	63	19.63	13	4.05	74	23.05	33	10.28
05034	334	177	52.99	5	1.50	8	2.40	142	42.51	2	0.60
05035	316	130	41.14	19	6.01	17	5.38	140	44.30	10	3.16
05036	215	98	45.58	58	26.98	8	3.72	31	14.42	20	9.30
05037	361	188	52.08	20	5.54	20	5.54	122	33.80	11	3.05
05038	249	121	48.59	56	22.49	9	3.61	43	17.27	20	8.03
05039	269	139	51.67	8	2.97	10	3.72	105	39.03	7	2.60
05040	253	102	40.32	49	19.37	17	6.72	62	24.51	23	9.09
05041	205	116	56.59	14	6.83	9	4.39	61	29.76	5	2.44
06001	320	134	41.88	55	17.19	22	6.88	85	26.56	24	7.50
06002	290	132	45.52	66	22.76	27	9.31	50	17.24	15	5.17
06003	300	151	50.33	62	20.67	11	3.67	50	16.67	26	8.67
06004	192	86	44.79	49	25.52	2	1.04	41	21.35	14	7.29
06005	177	68	38.42	52	29.38	6	3.39	43	24.29	8	4.52
06006	271	118	43.54	48	17.71	18	6.64	72	26.57	15	5.54
06007	240	99	41.25	61	25.42	3	1.25	58	24.17	19	7.92
06008	287	130	45.30	48	16.72	20	6.97	74	25.78	15	5.23
06009	221	85	38.46	43	19.46	7	3.17	70	31.67	16	7.24
06010	144	73	50.69	34	23.61	9	6.25	21	14.58	7	4.86
06011	230	90	39.13	64	27.83	8	3.48	52	22.61	16	6.96
06012	150	61	40.67	42	28.00	3	2.00	32	21.33	12	8.00
06013	218	101	46.33	44	20.18	20	9.17	39	17.89	14	6.42
06014	261	104	39.85	77	29.50	15	5.75	52	19.92	13	4.98
06015	197	74	37.56	73	37.06	8	4.06	36	18.27	6	3.05
06016	310	146	47.10	67	21.61	13	4.19	64	20.65	20	6.45
06017	176	81	46.02	48	27.27	6	3.41	31	17.61	10	5.68
06018	203	99	48.77	54	26.60	7	3.45	27	13.30	16	7.88
06019	243	111	45.68	64	26.34	10	4.12	46	18.93	12	4.94
06020	132	58	43.94	34	25.76	7	5.30	26	19.70	7	5.30
06021	158	66	41.77	47	29.75	3	1.90	39	24.68	3	1.90
06022	181	82	45.30	44	24.31	6	3.31	41	22.65	8	4.42
06023	145	59	40.69	43	29.66	4	2.76	33	22.76	6	4.14
06024	151	75	49.67	46	30.46	5	3.31	15	9.93	10	6.62
06025	144	68	47.22	38	26.39	6	4.17	20	13.89	12	8.33
06026	157	62	39.49	44	28.03	7	4.46	27	17.20	17	10.83
06027	142	44	30.99	60	42.25	5	3.52	23	16.20	10	7.04
