Precinct	Votes	votes|Lona Lane	pct|Lona Lane	votes|Derrick G. Curtis	pct|Derrick G. Curtis
18001	228	68	29.82	160	70.18
18002	269	68	25.28	201	74.72
18003	318	85	26.73	233	73.27
18004	313	124	39.62	189	60.38
18005	200	46	23.00	154	77.00
18006	271	78	28.78	193	71.22
18007	291	86	29.55	205	70.45
18008	307	94	30.62	213	69.38
18009	308	108	35.06	200	64.94
18010	391	127	32.48	264	67.52
18011	255	82	32.16	173	67.84
18012	270	78	28.89	192	71.11
18013	314	90	28.66	224	71.34
18014	300	123	41.00	177	59.00
18015	314	107	34.08	207	65.92
18016	294	105	35.71	189	64.29
18017	309	92	29.77	217	70.23
18018	273	115	42.12	158	57.88
18019	303	133	43.89	170	56.11
18020	247	100	40.49	147	59.51
18021	380	82	21.58	298	78.42
18022	353	127	35.98	226	64.02
18023	269	56	20.82	213	79.18
18024	282	106	37.59	176	62.41
18025	302	79	26.16	223	73.84
18026	361	169	46.81	192	53.19
18027	220	45	20.45	175	79.55
18028	293	93	31.74	200	68.26
18029	307	113	36.81	194	63.19
18030	323	87	26.93	236	73.07
18031	297	56	18.86	241	81.14
18032	312	109	34.94	203	65.06
18033	237	47	19.83	190	80.17
18034	405	167	41.23	238	58.77
18035	367	146	39.78	221	60.22
18036	292	79	27.05	213	72.95
18037	359	147	40.95	212	59.05
18038	291	138	47.42	153	52.58
18039	208	66	31.73	142	68.27
18040	339	101	29.79	238	70.21
18041	354	145	40.96	209	59.04
18042	246	69	28.05	177	71.95
18043	239	69	28.87	170	71.13
18044	285	92	32.28	193	67.72
18045	283	94	33.22	189	66.78
18046	333	80	24.02	253	75.98
18047	194	51	26.29	143	73.71
18048	214	59	27.57	155	72.43
18049	192	51	26.56	141	73.44
18050	219	56	25.57	163	74.43
