Precinct	Votes	votes|Vetress Boyce	pct|Vetress Boyce	votes|Michael Scott, Jr.	pct|Michael Scott, Jr.
24001	210	77	36.67	133	63.33
24002	192	64	33.33	128	66.67
24003	213	53	24.88	160	75.12
24004	185	62	33.51	123	66.49
24005	136	51	37.50	85	62.50
24006	228	76	33.33	152	66.67
24007	143	33	23.08	110	76.92
24008	147	59	40.14	88	59.86
24009	215	70	32.56	145	67.44
24010	128	42	32.81	86	67.19
24011	221	77	34.84	144	65.16
24012	123	35	28.46	88	71.54
24013	115	41	35.65	74	64.35
24014	187	64	34.22	123	65.78
24015	136	59	43.38	77	56.62
24016	251	84	33.47	167	66.53
24017	155	38	24.52	117	75.48
24018	243	72	29.63	171	70.37
24019	240	83	34.58	157	65.42
24020	172	42	24.42	130	75.58
24021	114	46	40.35	68	59.65
24022	276	110	39.86	166	60.14
24023	198	39	19.70	159	80.30
24024	268	123	45.90	145	54.10
24025	190	63	33.16	127	66.84
24026	316	91	28.80	225	71.20
24027	230	79	34.35	151	65.65
24028	183	62	33.88	121	66.12
24029	167	35	20.96	132	79.04
24030	122	34	27.87	88	72.13
24031	243	75	30.86	168	69.14
24032	134	37	27.61	97	72.39
24033	119	32	26.89	87	73.11
24034	193	82	42.49	111	57.51
24035	297	112	37.71	185	62.29
24036	287	82	28.57	205	71.43
24037	131	42	32.06	89	67.94
24038	202	49	24.26	153	75.74
24039	292	76	26.03	216	73.97
24040	205	76	37.07	129	62.93
24041	150	52	34.67	98	65.33
