Precinct	Votes	votes|Patrick Daley Thompson	pct|Patrick Daley Thompson	votes|David Mihalyfy	pct|David Mihalyfy
11001	321	235	73.21	86	26.79
11002	13	6	46.15	7	53.85
11003	245	113	46.12	132	53.88
11004	247	179	72.47	68	27.53
11005	351	198	56.41	153	43.59
11006	378	238	62.96	140	37.04
11007	227	140	61.67	87	38.33
11008	288	196	68.06	92	31.94
11009	254	156	61.42	98	38.58
11010	302	228	75.50	74	24.50
11011	299	193	64.55	106	35.45
11012	507	439	86.59	68	13.41
11013	419	354	84.49	65	15.51
11014	192	145	75.52	47	24.48
11015	135	98	72.59	37	27.41
11016	220	168	76.36	52	23.64
11017	360	225	62.50	135	37.50
11018	276	228	82.61	48	17.39
11019	382	207	54.19	175	45.81
11020	235	196	83.40	39	16.60
11021	478	396	82.85	82	17.15
11022	387	259	66.93	128	33.07
11023	216	184	85.19	32	14.81
11024	443	395	89.16	48	10.84
11025	402	280	69.65	122	30.35
11026	401	293	73.07	108	26.93
11027	102	68	66.67	34	33.33
11028	138	119	86.23	19	13.77
11029	428	367	85.75	61	14.25
11030	146	109	74.66	37	25.34
11031	350	293	83.71	57	16.29
11032	184	160	86.96	24	13.04
11033	320	216	67.50	104	32.50
11034	145	116	80.00	29	20.00
11035	110	98	89.09	12	10.91
11036	129	103	79.84	26	20.16
11037	98	69	70.41	29	29.59
11038	135	70	51.85	65	48.15
