Precinct	Votes	votes|Edward M. Burke	pct|Edward M. Burke	votes|Jaime Guzman	pct|Jaime Guzman	votes|Tanya G. Patino	pct|Tanya G. Patino
14001	438	315	71.92	41	9.36	82	18.72
14002	342	161	47.08	53	15.50	128	37.43
14003	210	90	42.86	50	23.81	70	33.33
14004	334	238	71.26	45	13.47	51	15.27
14005	323	156	48.30	65	20.12	102	31.58
14006	118	72	61.02	10	8.47	36	30.51
14007	263	106	40.30	59	22.43	98	37.26
14008	271	103	38.01	73	26.94	95	35.06
14009	374	246	65.78	45	12.03	83	22.19
14010	160	79	49.38	32	20.00	49	30.63
14011	158	102	64.56	15	9.49	41	25.95
14012	266	127	47.74	68	25.56	71	26.69
14013	235	147	62.55	32	13.62	56	23.83
14014	245	154	62.86	30	12.24	61	24.90
14015	244	108	44.26	67	27.46	69	28.28
14016	191	112	58.64	33	17.28	46	24.08
14017	209	100	47.85	24	11.48	85	40.67
14018	120	64	53.33	22	18.33	34	28.33
14019	218	138	63.30	21	9.63	59	27.06
14020	142	64	45.07	23	16.20	55	38.73
14021	214	78	36.45	32	14.95	104	48.60
14022	328	183	55.79	64	19.51	81	24.70
14023	221	148	66.97	26	11.76	47	21.27
14024	392	282	71.94	40	10.20	70	17.86
14025	138	62	44.93	13	9.42	63	45.65
14026	164	77	46.95	31	18.90	56	34.15
14027	265	132	49.81	42	15.85	91	34.34
14028	176	81	46.02	42	23.86	53	30.11
14029	218	114	52.29	19	8.72	85	38.99
14030	125	39	31.20	32	25.60	54	43.20
14031	119	39	32.77	32	26.89	48	40.34
