Precinct	Votes	votes|Creative Scott	pct|Creative Scott	votes|Michael Scott, Jr.	pct|Michael Scott, Jr.	votes|Toriano A. Sanzone	pct|Toriano A. Sanzone	votes|Traci Johnson	pct|Traci Johnson
24001	156	29	18.59	104	66.67	5	3.21	18	11.54
24002	164	34	20.73	104	63.41	5	3.05	21	12.80
24003	186	28	15.05	130	69.89	12	6.45	16	8.60
24004	118	11	9.32	77	65.25	5	4.24	25	21.19
24005	96	14	14.58	65	67.71	3	3.13	14	14.58
24006	211	71	33.65	100	47.39	13	6.16	27	12.80
24007	117	14	11.97	65	55.56	10	8.55	28	23.93
24008	87	22	25.29	48	55.17	6	6.90	11	12.64
24009	152	36	23.68	91	59.87	6	3.95	19	12.50
24010	81	13	16.05	46	56.79	5	6.17	17	20.99
24011	198	70	35.35	73	36.87	41	20.71	14	7.07
24012	112	18	16.07	68	60.71	10	8.93	16	14.29
24013	89	20	22.47	63	70.79	1	1.12	5	5.62
24014	151	21	13.91	104	68.87	4	2.65	22	14.57
24015	99	44	44.44	47	47.47	3	3.03	5	5.05
24016	312	21	6.73	147	47.12	38	12.18	106	33.97
24017	134	15	11.19	96	71.64	2	1.49	21	15.67
24018	162	14	8.64	98	60.49	6	3.70	44	27.16
24019	232	50	21.55	131	56.47	6	2.59	45	19.40
24020	128	9	7.03	86	67.19	4	3.13	29	22.66
24021	74	13	17.57	44	59.46	4	5.41	13	17.57
24022	205	32	15.61	130	63.41	12	5.85	31	15.12
24023	123	27	21.95	63	51.22	16	13.01	17	13.82
24024	183	38	20.77	103	56.28	9	4.92	33	18.03
24025	146	34	23.29	65	44.52	24	16.44	23	15.75
24026	284	37	13.03	210	73.94	10	3.52	27	9.51
24027	201	30	14.93	117	58.21	4	1.99	50	24.88
24028	138	20	14.49	90	65.22	2	1.45	26	18.84
24029	151	42	27.81	96	63.58	3	1.99	10	6.62
24030	95	13	13.68	61	64.21	7	7.37	14	14.74
24031	213	75	35.21	109	51.17	10	4.69	19	8.92
24032	77	16	20.78	50	64.94	4	5.19	7	9.09
24033	112	24	21.43	68	60.71	9	8.04	11	9.82
24034	175	52	29.71	89	50.86	10	5.71	24	13.71
24035	158	33	20.89	112	70.89	4	2.53	9	5.70
24036	224	59	26.34	124	55.36	16	7.14	25	11.16
24037	102	17	16.67	62	60.78	5	4.90	18	17.65
24038	165	25	15.15	107	64.85	8	4.85	25	15.15
24039	214	24	11.21	142	66.36	14	6.54	34	15.89
24040	189	17	8.99	110	58.20	7	3.70	55	29.10
24041	141	9	6.38	114	80.85	1	0.71	17	12.06
