Precinct	Votes	votes|Theresa Siaw	pct|Theresa Siaw	votes|Roberto Maldonado	pct|Roberto Maldonado	votes|David Herrera	pct|David Herrera
26001	227	67	29.52	85	37.44	75	33.04
26002	228	59	25.88	119	52.19	50	21.93
26003	225	69	30.67	99	44.00	57	25.33
26004	147	61	41.50	73	49.66	13	8.84
26005	190	66	34.74	95	50.00	29	15.26
26006	199	52	26.13	104	52.26	43	21.61
26007	209	61	29.19	115	55.02	33	15.79
26008	110	24	21.82	65	59.09	21	19.09
26009	181	32	17.68	131	72.38	18	9.94
26010	169	65	38.46	92	54.44	12	7.10
26011	211	45	21.33	138	65.40	28	13.27
26012	231	57	24.68	121	52.38	53	22.94
26013	114	38	33.33	63	55.26	13	11.40
26014	163	36	22.09	92	56.44	35	21.47
26015	113	28	24.78	76	67.26	9	7.96
26016	94	20	21.28	67	71.28	7	7.45
26017	199	35	17.59	65	32.66	99	49.75
26018	163	40	24.54	103	63.19	20	12.27
26019	126	45	35.71	66	52.38	15	11.90
26020	209	51	24.40	119	56.94	39	18.66
26021	248	74	29.84	112	45.16	62	25.00
26022	88	21	23.86	61	69.32	6	6.82
26023	133	32	24.06	85	63.91	16	12.03
26024	185	51	27.57	112	60.54	22	11.89
26025	208	58	27.88	102	49.04	48	23.08
26026	142	65	45.77	46	32.39	31	21.83
26027	298	130	43.62	121	40.60	47	15.77
26028	336	61	18.15	93	27.68	182	54.17
26029	127	30	23.62	81	63.78	16	12.60
26030	178	61	34.27	87	48.88	30	16.85
26031	93	22	23.66	59	63.44	12	12.90
26032	260	53	20.38	49	18.85	158	60.77
26033	249	73	29.32	117	46.99	59	23.69
26034	277	82	29.60	155	55.96	40	14.44
26035	232	80	34.48	121	52.16	31	13.36
26036	223	69	30.94	83	37.22	71	31.84
26037	211	58	27.49	132	62.56	21	9.95
26038	98	32	32.65	58	59.18	8	8.16
26039	227	75	33.04	91	40.09	61	26.87
26040	148	40	27.03	88	59.46	20	13.51
26041	214	94	43.93	92	42.99	28	13.08
26042	169	54	31.95	92	54.44	23	13.61
26043	126	19	15.08	84	66.67	23	18.25
26044	126	38	30.16	75	59.52	13	10.32
26045	95	22	23.16	61	64.21	12	12.63
26046	167	20	11.98	59	35.33	88	52.69
26047	118	27	22.88	82	69.49	9	7.63
26048	185	52	28.11	84	45.41	49	26.49
26049	95	23	24.21	61	64.21	11	11.58
