Precinct	Votes	votes|Miguel Bautista	pct|Miguel Bautista	votes|Jason C. Ervin	pct|Jason C. Ervin	votes|Jasmine Jackson	pct|Jasmine Jackson	votes|Beverly Miles	pct|Beverly Miles
28001	110	1	0.91	81	73.64	16	14.55	12	10.91
28002	187	26	13.90	103	55.08	40	21.39	18	9.63
28003	139	7	5.04	89	64.03	26	18.71	17	12.23
28004	164	59	35.98	72	43.90	22	13.41	11	6.71
28005	134	21	15.67	99	73.88	10	7.46	4	2.99
28006	156	35	22.44	91	58.33	15	9.62	15	9.62
28007	174	10	5.75	112	64.37	27	15.52	25	14.37
28008	192	43	22.40	115	59.90	17	8.85	17	8.85
28009	161	5	3.11	113	70.19	28	17.39	15	9.32
28010	244	83	34.02	111	45.49	38	15.57	12	4.92
28011	357	160	44.82	120	33.61	58	16.25	19	5.32
28012	175	1	0.57	119	68.00	28	16.00	27	15.43
28013	231	7	3.03	154	66.67	37	16.02	33	14.29
28014	155	4	2.58	95	61.29	39	25.16	17	10.97
28015	57	2	3.51	42	73.68	7	12.28	6	10.53
28016	104	2	1.92	75	72.12	12	11.54	15	14.42
28017	146	3	2.05	112	76.71	16	10.96	15	10.27
28018	144	13	9.03	93	64.58	29	20.14	9	6.25
28019	185	80	43.24	86	46.49	11	5.95	8	4.32
28020	176	17	9.66	118	67.05	27	15.34	14	7.95
28021	145	1	0.69	106	73.10	23	15.86	15	10.34
28022	172	31	18.02	94	54.65	30	17.44	17	9.88
28023	203	4	1.97	152	74.88	19	9.36	28	13.79
28024	159	3	1.89	108	67.92	24	15.09	24	15.09
28025	248	10	4.03	183	73.79	37	14.92	18	7.26
28026	164	4	2.44	113	68.90	29	17.68	18	10.98
28027	219	73	33.33	121	55.25	22	10.05	3	1.37
28028	267	80	29.96	147	55.06	20	7.49	20	7.49
28029	87	6	6.90	40	45.98	35	40.23	6	6.90
28030	28	1	3.57	22	78.57	5	17.86	0	0
28031	311	10	3.22	213	68.49	56	18.01	32	10.29
28032	162	7	4.32	111	68.52	29	17.90	15	9.26
28033	200	3	1.50	117	58.50	26	13.00	54	27.00
28034	255	24	9.41	156	61.18	68	26.67	7	2.75
28035	178	7	3.93	112	62.92	55	30.90	4	2.25
28036	98	2	2.04	75	76.53	18	18.37	3	3.06
28037	201	6	2.99	150	74.63	19	9.45	26	12.94
28038	74	3	4.05	46	62.16	22	29.73	3	4.05
28039	114	0	0	79	69.30	15	13.16	20	17.54
28040	224	6	2.68	165	73.66	30	13.39	23	10.27
28041	117	3	2.56	79	67.52	22	18.80	13	11.11
28042	167	5	2.99	115	68.86	25	14.97	22	13.17
28043	206	7	3.40	148	71.84	27	13.11	24	11.65
28044	125	2	1.60	68	54.40	13	10.40	42	33.60
28045	187	67	35.83	88	47.06	23	12.30	9	4.81
28046	368	178	48.37	146	39.67	35	9.51	9	2.45
