Precinct	Votes	votes|Tim Heneghan	pct|Tim Heneghan	votes|Anthony V. Napolitano	pct|Anthony V. Napolitano
41001	364	85	23.35	279	76.65
41002	400	98	24.50	302	75.50
41003	383	102	26.63	281	73.37
41004	423	156	36.88	267	63.12
41005	387	161	41.60	226	58.40
41006	471	193	40.98	278	59.02
41007	439	148	33.71	291	66.29
41008	389	103	26.48	286	73.52
41009	348	107	30.75	241	69.25
41010	475	199	41.89	276	58.11
41011	447	136	30.43	311	69.57
41012	368	109	29.62	259	70.38
41013	451	113	25.06	338	74.94
41014	442	195	44.12	247	55.88
41015	477	207	43.40	270	56.60
41016	353	89	25.21	264	74.79
41017	395	128	32.41	267	67.59
41018	366	85	23.22	281	76.78
41019	418	148	35.41	270	64.59
41020	270	80	29.63	190	70.37
41021	388	121	31.19	267	68.81
41022	438	117	26.71	321	73.29
41023	360	55	15.28	305	84.72
41024	361	77	21.33	284	78.67
41025	157	52	33.12	105	66.88
41026	362	97	26.80	265	73.20
41027	218	45	20.64	173	79.36
41028	202	86	42.57	116	57.43
41029	153	52	33.99	101	66.01
41030	346	86	24.86	260	75.14
41031	464	165	35.56	299	64.44
41032	296	86	29.05	210	70.95
41033	351	88	25.07	263	74.93
41034	377	89	23.61	288	76.39
41035	481	109	22.66	372	77.34
41036	377	105	27.85	272	72.15
41037	421	149	35.39	272	64.61
41038	352	100	28.41	252	71.59
41039	408	158	38.73	250	61.27
41040	469	121	25.80	348	74.20
41041	422	69	16.35	353	83.65
41042	363	126	34.71	237	65.29
41043	407	72	17.69	335	82.31
41044	434	113	26.04	321	73.96
41045	338	78	23.08	260	76.92
41046	386	97	25.13	289	74.87
41047	394	134	34.01	260	65.99
