Precinct	Votes	votes|Brendan Reilly	pct|Brendan Reilly
42001	292	292	100.00
42002	207	207	100.00
42003	221	221	100.00
42004	379	379	100.00
42005	208	208	100.00
42006	349	349	100.00
42007	312	312	100.00
42008	269	269	100.00
42009	215	215	100.00
42010	284	284	100.00
42011	248	248	100.00
42012	233	233	100.00
42013	355	355	100.00
42014	241	241	100.00
42015	223	223	100.00
42016	238	238	100.00
42017	313	313	100.00
42018	157	157	100.00
42019	368	368	100.00
42020	243	243	100.00
42021	208	208	100.00
42022	111	111	100.00
42023	293	293	100.00
42024	262	262	100.00
42025	215	215	100.00
42026	321	321	100.00
42027	221	221	100.00
42028	374	374	100.00
42029	258	258	100.00
42030	299	299	100.00
42031	305	305	100.00
42032	231	231	100.00
42033	260	260	100.00
42034	259	259	100.00
42035	298	298	100.00
42036	280	280	100.00
42037	183	183	100.00
42038	243	243	100.00
42039	265	265	100.00
42040	299	299	100.00
42041	240	240	100.00
42042	349	349	100.00
