Precinct	Votes	votes|Leslie A. Hairston	pct|Leslie A. Hairston	votes|William Calloway	pct|William Calloway	votes|Gabriel Piemonte	pct|Gabriel Piemonte
05001	226	99	43.81	101	44.69	26	11.50
05002	189	93	49.21	82	43.39	14	7.41
05003	350	155	44.29	54	15.43	141	40.29
05004	386	221	57.25	78	20.21	87	22.54
05005	270	141	52.22	66	24.44	63	23.33
05006	242	113	46.69	110	45.45	19	7.85
05007	328	206	62.80	68	20.73	54	16.46
05008	371	123	33.15	45	12.13	203	54.72
05009	410	220	53.66	77	18.78	113	27.56
05010	217	113	52.07	96	44.24	8	3.69
05011	379	186	49.08	52	13.72	141	37.20
05012	182	88	48.35	81	44.51	13	7.14
05013	244	138	56.56	73	29.92	33	13.52
05014	295	124	42.03	134	45.42	37	12.54
05015	291	170	58.42	51	17.53	70	24.05
05016	252	129	51.19	84	33.33	39	15.48
05017	265	164	61.89	78	29.43	23	8.68
05018	327	143	43.73	70	21.41	114	34.86
05019	362	145	40.06	46	12.71	171	47.24
05020	391	220	56.27	69	17.65	102	26.09
05021	333	172	51.65	53	15.92	108	32.43
05022	431	233	54.06	73	16.94	125	29.00
05023	570	252	44.21	94	16.49	224	39.30
05024	360	150	41.67	77	21.39	133	36.94
05025	306	182	59.48	91	29.74	33	10.78
05026	327	131	40.06	159	48.62	37	11.31
05027	332	115	34.64	64	19.28	153	46.08
05028	333	196	58.86	103	30.93	34	10.21
05029	328	127	38.72	171	52.13	30	9.15
05030	206	116	56.31	73	35.44	17	8.25
05031	235	90	38.30	129	54.89	16	6.81
05032	407	201	49.39	171	42.01	35	8.60
05033	334	200	59.88	91	27.25	43	12.87
05034	391	159	40.66	43	11.00	189	48.34
05035	404	186	46.04	58	14.36	160	39.60
05036	183	88	48.09	83	45.36	12	6.56
05037	436	209	47.94	71	16.28	156	35.78
05038	275	112	40.73	150	54.55	13	4.73
05039	290	142	48.97	25	8.62	123	42.41
05040	262	94	35.88	137	52.29	31	11.83
05041	233	138	59.23	33	14.16	62	26.61
