Precinct	Votes	votes|Hilario Dominguez	pct|Hilario Dominguez	votes|Alexander Acevedo	pct|Alexander Acevedo	votes|Troy Antonio Hernandez	pct|Troy Antonio Hernandez	votes|Byron Sigcho-Lopez	pct|Byron Sigcho-Lopez	votes|Aida Flores	pct|Aida Flores
25001	288	50	17.36	97	33.68	9	3.13	86	29.86	46	15.97
25002	321	79	24.61	62	19.31	17	5.30	109	33.96	54	16.82
25003	311	49	15.76	58	18.65	59	18.97	79	25.40	66	21.22
25004	263	34	12.93	47	17.87	28	10.65	106	40.30	48	18.25
25005	377	63	16.71	162	42.97	15	3.98	100	26.53	37	9.81
25006	128	47	36.72	25	19.53	8	6.25	39	30.47	9	7.03
25007	332	62	18.67	36	10.84	22	6.63	144	43.37	68	20.48
25008	350	99	28.29	88	25.14	13	3.71	104	29.71	46	13.14
25009	304	64	21.05	65	21.38	22	7.24	98	32.24	55	18.09
25010	313	45	14.38	75	23.96	73	23.32	51	16.29	69	22.04
25011	318	86	27.04	59	18.55	20	6.29	93	29.25	60	18.87
25012	326	81	24.85	71	21.78	11	3.37	110	33.74	53	16.26
25013	349	80	22.92	78	22.35	16	4.58	126	36.10	49	14.04
25014	214	59	27.57	28	13.08	12	5.61	72	33.64	43	20.09
25015	286	71	24.83	88	30.77	20	6.99	55	19.23	52	18.18
25016	319	56	17.55	56	17.55	77	24.14	64	20.06	66	20.69
25017	367	63	17.17	84	22.89	22	5.99	89	24.25	109	29.70
25018	360	64	17.78	40	11.11	13	3.61	194	53.89	49	13.61
25019	346	72	20.81	60	17.34	14	4.05	116	33.53	84	24.28
25020	180	31	17.22	61	33.89	12	6.67	50	27.78	26	14.44
25021	392	102	26.02	54	13.78	59	15.05	80	20.41	97	24.74
25022	286	65	22.73	72	25.17	12	4.20	91	31.82	46	16.08
25023	382	123	32.20	78	20.42	23	6.02	103	26.96	55	14.40
25024	376	54	14.36	46	12.23	32	8.51	125	33.24	119	31.65
25025	310	52	16.77	92	29.68	37	11.94	52	16.77	77	24.84
25026	306	46	15.03	121	39.54	13	4.25	87	28.43	39	12.75
25027	244	42	17.21	45	18.44	49	20.08	43	17.62	65	26.64
25028	326	86	26.38	55	16.87	20	6.13	108	33.13	57	17.48
25029	268	32	11.94	68	25.37	13	4.85	92	34.33	63	23.51
25030	310	63	20.32	72	23.23	15	4.84	101	32.58	59	19.03
25031	340	58	17.06	57	16.76	73	21.47	55	16.18	97	28.53
25032	278	78	28.06	82	29.50	6	2.16	63	22.66	49	17.63
