Precinct	Votes	votes|Brian Hopkins	pct|Brian Hopkins
02001	211	211	100.00
02002	225	225	100.00
02003	249	249	100.00
02004	175	175	100.00
02005	243	243	100.00
02006	221	221	100.00
02007	206	206	100.00
02008	243	243	100.00
02009	172	172	100.00
02010	291	291	100.00
02011	328	328	100.00
02012	232	232	100.00
02013	251	251	100.00
02014	280	280	100.00
02015	211	211	100.00
02016	202	202	100.00
02017	305	305	100.00
02018	230	230	100.00
02019	233	233	100.00
02020	220	220	100.00
02021	267	267	100.00
02022	292	292	100.00
02023	235	235	100.00
02024	254	254	100.00
02025	252	252	100.00
02026	208	208	100.00
02027	237	237	100.00
02028	246	246	100.00
02029	242	242	100.00
02030	206	206	100.00
02031	345	345	100.00
02032	146	146	100.00
02033	403	403	100.00
02034	278	278	100.00
02035	232	232	100.00
02036	267	267	100.00
02037	270	270	100.00
02038	262	262	100.00
02039	195	195	100.00
02040	222	222	100.00
02041	183	183	100.00
02042	199	199	100.00
02043	281	281	100.00
02044	164	164	100.00
02045	264	264	100.00
02046	99	99	100.00
