Precinct	Votes	votes|Katie Sieracki	pct|Katie Sieracki	votes|R. Rodriguez Sanchez	pct|R. Rodriguez Sanchez	votes|Deborah L. Mell	pct|Deborah L. Mell
33001	365	77	21.10	201	55.07	87	23.84
33002	478	70	14.64	226	47.28	182	38.08
33003	495	81	16.36	254	51.31	160	32.32
33004	439	80	18.22	193	43.96	166	37.81
33005	319	42	13.17	141	44.20	136	42.63
33006	305	42	13.77	108	35.41	155	50.82
33007	383	64	16.71	205	53.52	114	29.77
33008	570	150	26.32	163	28.60	257	45.09
33009	425	79	18.59	124	29.18	222	52.24
33010	388	78	20.10	139	35.82	171	44.07
33011	404	59	14.60	155	38.37	190	47.03
33012	341	46	13.49	131	38.42	164	48.09
33013	338	56	16.57	155	45.86	127	37.57
33014	161	26	16.15	76	47.20	59	36.65
33015	347	27	7.78	192	55.33	128	36.89
33016	468	72	15.38	178	38.03	218	46.58
33017	389	47	12.08	178	45.76	164	42.16
33018	430	72	16.74	229	53.26	129	30.00
33019	365	62	16.99	147	40.27	156	42.74
33020	400	84	21.00	200	50.00	116	29.00
33021	378	38	10.05	151	39.95	189	50.00
33022	354	43	12.15	93	26.27	218	61.58
33023	417	82	19.66	154	36.93	181	43.41
33024	571	147	25.74	129	22.59	295	51.66
33025	425	74	17.41	149	35.06	202	47.53
33026	268	26	9.70	164	61.19	78	29.10
33027	366	60	16.39	174	47.54	132	36.07
33028	346	38	10.98	189	54.62	119	34.39
