Precinct	Votes	votes|Robert Murphy	pct|Robert Murphy	votes|Samantha ''Sam'' Nugent	pct|Samantha ''Sam'' Nugent	votes|Casey Smagala	pct|Casey Smagala	votes|Joe Duplechin	pct|Joe Duplechin
39001	348	101	29.02	157	45.11	67	19.25	23	6.61
39002	341	100	29.33	130	38.12	84	24.63	27	7.92
39003	332	116	34.94	101	30.42	96	28.92	19	5.72
39004	317	73	23.03	137	43.22	66	20.82	41	12.93
39005	321	90	28.04	84	26.17	116	36.14	31	9.66
39006	284	119	41.90	76	26.76	69	24.30	20	7.04
39007	283	85	30.04	91	32.16	93	32.86	14	4.95
39008	321	76	23.68	138	42.99	90	28.04	17	5.30
39009	285	94	32.98	81	28.42	81	28.42	29	10.18
39010	158	39	24.68	39	24.68	73	46.20	7	4.43
39011	295	103	34.92	75	25.42	100	33.90	17	5.76
39012	325	96	29.54	59	18.15	140	43.08	30	9.23
39013	236	55	23.31	56	23.73	108	45.76	17	7.20
39014	297	74	24.92	86	28.96	111	37.37	26	8.75
39015	354	48	13.56	215	60.73	71	20.06	20	5.65
39016	176	71	40.34	47	26.70	45	25.57	13	7.39
39017	354	138	38.98	97	27.40	96	27.12	23	6.50
39018	305	123	40.33	87	28.52	78	25.57	17	5.57
39019	325	115	35.38	86	26.46	112	34.46	12	3.69
39020	408	88	21.57	121	29.66	112	27.45	87	21.32
39021	306	90	29.41	100	32.68	51	16.67	65	21.24
39022	202	93	46.04	44	21.78	57	28.22	8	3.96
39023	376	56	14.89	94	25.00	130	34.57	96	25.53
39024	458	80	17.47	97	21.18	148	32.31	133	29.04
39025	190	72	37.89	57	30.00	41	21.58	20	10.53
39026	317	86	27.13	123	38.80	71	22.40	37	11.67
39027	69	23	33.33	26	37.68	11	15.94	9	13.04
39028	419	172	41.05	75	17.90	145	34.61	27	6.44
39029	140	42	30.00	35	25.00	55	39.29	8	5.71
39030	329	135	41.03	61	18.54	124	37.69	9	2.74
39031	253	70	27.67	78	30.83	87	34.39	18	7.11
39032	260	56	21.54	68	26.15	107	41.15	29	11.15
39033	340	85	25.00	117	34.41	125	36.76	13	3.82
39034	274	97	35.40	75	27.37	77	28.10	25	9.12
39035	310	170	54.84	46	14.84	82	26.45	12	3.87
39036	84	22	26.19	43	51.19	16	19.05	3	3.57
39037	353	73	20.68	157	44.48	87	24.65	36	10.20
39038	197	74	37.56	58	29.44	51	25.89	14	7.11
39039	208	76	36.54	93	44.71	22	10.58	17	8.17
39040	306	38	12.42	139	45.42	100	32.68	29	9.48
39041	380	192	50.53	107	28.16	48	12.63	33	8.68
39042	399	73	18.30	255	63.91	56	14.04	15	3.76
39043	353	104	29.46	171	48.44	41	11.61	37	10.48
39044	295	76	25.76	145	49.15	36	12.20	38	12.88
39045	358	55	15.36	169	47.21	68	18.99	66	18.44
