Precinct	Votes	votes|Tom Tunney	pct|Tom Tunney	votes|Austin Baidas	pct|Austin Baidas	votes|Elizabeth Shydlowski	pct|Elizabeth Shydlowski
44001	526	340	64.64	143	27.19	43	8.17
44002	389	232	59.64	91	23.39	66	16.97
44003	318	274	86.16	35	11.01	9	2.83
44004	366	260	71.04	71	19.40	35	9.56
44005	359	229	63.79	86	23.96	44	12.26
44006	437	266	60.87	116	26.54	55	12.59
44007	321	238	74.14	47	14.64	36	11.21
44008	439	262	59.68	127	28.93	50	11.39
44009	357	220	61.62	88	24.65	49	13.73
44010	312	204	65.38	68	21.79	40	12.82
44011	375	222	59.20	106	28.27	47	12.53
44012	400	265	66.25	102	25.50	33	8.25
44013	273	173	63.37	72	26.37	28	10.26
44014	294	180	61.22	83	28.23	31	10.54
44015	328	219	66.77	80	24.39	29	8.84
44016	396	253	63.89	101	25.51	42	10.61
44017	489	308	62.99	141	28.83	40	8.18
44018	312	229	73.40	47	15.06	36	11.54
44019	417	260	62.35	124	29.74	33	7.91
44020	292	176	60.27	82	28.08	34	11.64
44021	385	255	66.23	90	23.38	40	10.39
44022	423	267	63.12	107	25.30	49	11.58
44023	310	197	63.55	79	25.48	34	10.97
44024	311	243	78.14	41	13.18	27	8.68
44025	348	205	58.91	93	26.72	50	14.37
44026	418	241	57.66	139	33.25	38	9.09
44027	405	262	64.69	94	23.21	49	12.10
44028	314	189	60.19	98	31.21	27	8.60
44029	337	224	66.47	69	20.47	44	13.06
44030	440	249	56.59	149	33.86	42	9.55
44031	276	184	66.67	60	21.74	32	11.59
44032	409	266	65.04	96	23.47	47	11.49
44033	333	214	64.26	94	28.23	25	7.51
44034	409	281	68.70	101	24.69	27	6.60
44035	490	368	75.10	78	15.92	44	8.98
44036	332	196	59.04	112	33.73	24	7.23
44037	396	232	58.59	140	35.35	24	6.06
44038	299	166	55.52	86	28.76	47	15.72
44039	351	212	60.40	100	28.49	39	11.11
44040	325	218	67.08	67	20.62	40	12.31
44041	394	255	64.72	91	23.10	48	12.18
