Precinct	Votes	votes|Jerry Joyce	pct|Jerry Joyce	votes|Paul Vallas	pct|Paul Vallas	votes|Willie L. Wilson	pct|Willie L. Wilson	votes|Toni Preckwinkle	pct|Toni Preckwinkle	votes|William M. Daley	pct|William M. Daley	votes|Garry Mccarthy	pct|Garry Mccarthy	votes|Gery Chico	pct|Gery Chico	votes|Susana A. Mendoza	pct|Susana A. Mendoza	votes|Amara Enyia	pct|Amara Enyia	votes|La Shawn K. Ford	pct|La Shawn K. Ford	votes|Neal Sales-Griffin	pct|Neal Sales-Griffin	votes|Lori Lightfoot	pct|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	pct|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar	pct|John Kenneth Kozlar
01001	331	10	3.02	8	2.42	14	4.23	53	16.01	34	10.27	3	0.91	19	5.74	34	10.27	59	17.82	2	0.60	1	0.30	92	27.79	1	0.30	1	0.30
01002	250	10	4.00	8	3.20	19	7.60	39	15.60	30	12.00	2	0.80	14	5.60	29	11.60	37	14.80	2	0.80	1	0.40	57	22.80	2	0.80	0	0
01003	310	13	4.19	11	3.55	6	1.94	48	15.48	44	14.19	5	1.61	11	3.55	23	7.42	51	16.45	0	0	0	0	92	29.68	1	0.32	5	1.61
01004	307	13	4.23	22	7.17	5	1.63	53	17.26	49	15.96	9	2.93	13	4.23	31	10.10	32	10.42	2	0.65	1	0.33	69	22.48	4	1.30	4	1.30
01005	288	10	3.47	18	6.25	5	1.74	48	16.67	35	12.15	5	1.74	9	3.13	21	7.29	54	18.75	0	0	1	0.35	77	26.74	3	1.04	2	0.69
01006	291	15	5.15	14	4.81	5	1.72	25	8.59	53	18.21	8	2.75	20	6.87	39	13.40	43	14.78	0	0	1	0.34	66	22.68	0	0	2	0.69
01007	235	5	2.13	11	4.68	10	4.26	41	17.45	20	8.51	3	1.28	13	5.53	32	13.62	29	12.34	2	0.85	0	0	66	28.09	2	0.85	1	0.43
01008	280	10	3.57	13	4.64	22	7.86	51	18.21	38	13.57	6	2.14	9	3.21	34	12.14	25	8.93	1	0.36	1	0.36	59	21.07	1	0.36	10	3.57
01009	285	15	5.26	10	3.51	6	2.11	47	16.49	39	13.68	9	3.16	22	7.72	49	17.19	32	11.23	0	0	1	0.35	51	17.89	3	1.05	1	0.35
01010	297	8	2.69	13	4.38	5	1.68	44	14.81	45	15.15	9	3.03	12	4.04	29	9.76	32	10.77	0	0	1	0.34	98	33.00	1	0.34	0	0
01011	326	9	2.76	16	4.91	5	1.53	45	13.80	47	14.42	4	1.23	6	1.84	24	7.36	55	16.87	1	0.31	4	1.23	107	32.82	3	0.92	0	0
01012	361	10	2.77	16	4.43	4	1.11	55	15.24	32	8.86	9	2.49	23	6.37	38	10.53	49	13.57	4	1.11	0	0	115	31.86	4	1.11	2	0.55
01013	159	1	0.63	9	5.66	7	4.40	36	22.64	20	12.58	6	3.77	1	0.63	15	9.43	27	16.98	2	1.26	1	0.63	32	20.13	0	0	2	1.26
01014	300	9	3.00	11	3.67	9	3.00	50	16.67	51	17.00	8	2.67	7	2.33	22	7.33	28	9.33	10	3.33	0	0	93	31.00	2	0.67	0	0
01015	263	11	4.18	16	6.08	7	2.66	47	17.87	23	8.75	8	3.04	11	4.18	29	11.03	30	11.41	2	0.76	0	0	74	28.14	4	1.52	1	0.38
01016	362	13	3.59	13	3.59	1	0.28	68	18.78	43	11.88	3	0.83	20	5.52	50	13.81	40	11.05	0	0	0	0	108	29.83	2	0.55	1	0.28
01017	286	5	1.75	7	2.45	8	2.80	67	23.43	19	6.64	7	2.45	20	6.99	28	9.79	43	15.03	4	1.40	2	0.70	70	24.48	2	0.70	4	1.40
01018	307	11	3.58	9	2.93	14	4.56	62	20.20	23	7.49	3	0.98	26	8.47	30	9.77	59	19.22	1	0.33	0	0	67	21.82	2	0.65	0	0
01019	345	23	6.67	9	2.61	8	2.32	53	15.36	38	11.01	5	1.45	14	4.06	35	10.14	57	16.52	2	0.58	0	0	98	28.41	1	0.29	2	0.58
01020	240	5	2.08	9	3.75	7	2.92	41	17.08	13	5.42	2	0.83	11	4.58	24	10.00	62	25.83	0	0	4	1.67	60	25.00	2	0.83	0	0
01021	317	9	2.84	12	3.79	1	0.32	60	18.93	49	15.46	6	1.89	13	4.10	25	7.89	44	13.88	0	0	4	1.26	92	29.02	2	0.63	0	0
01022	200	4	2.00	3	1.50	6	3.00	33	16.50	33	16.50	1	0.50	13	6.50	24	12.00	28	14.00	0	0	0	0	51	25.50	2	1.00	2	1.00
01023	429	9	2.10	18	4.20	7	1.63	89	20.75	34	7.93	5	1.17	20	4.66	34	7.93	81	18.88	1	0.23	1	0.23	120	27.97	6	1.40	4	0.93
01024	248	10	4.03	7	2.82	6	2.42	59	23.79	20	8.06	3	1.21	15	6.05	38	15.32	39	15.73	3	1.21	3	1.21	40	16.13	5	2.02	0	0
01025	269	2	0.74	3	1.12	14	5.20	59	21.93	28	10.41	4	1.49	5	1.86	28	10.41	60	22.30	0	0	1	0.37	62	23.05	2	0.74	1	0.37
01026	198	5	2.53	5	2.53	6	3.03	37	18.69	26	13.13	3	1.52	16	8.08	23	11.62	35	17.68	2	1.01	1	0.51	35	17.68	2	1.01	2	1.01
01027	298	11	3.69	10	3.36	7	2.35	32	10.74	46	15.44	3	1.01	11	3.69	32	10.74	31	10.40	2	0.67	4	1.34	103	34.56	2	0.67	4	1.34
01028	107	8	7.48	1	0.93	18	16.82	19	17.76	18	16.82	2	1.87	6	5.61	15	14.02	4	3.74	0	0	0	0	13	12.15	1	0.93	2	1.87
01029	399	11	2.76	24	6.02	6	1.50	46	11.53	65	16.29	7	1.75	16	4.01	41	10.28	56	14.04	2	0.50	1	0.25	119	29.82	1	0.25	4	1.00
01030	335	6	1.79	12	3.58	11	3.28	65	19.40	54	16.12	6	1.79	21	6.27	39	11.64	46	13.73	1	0.30	0	0	72	21.49	2	0.60	0	0
01031	310	11	3.55	21	6.77	13	4.19	45	14.52	53	17.10	4	1.29	24	7.74	39	12.58	30	9.68	4	1.29	0	0	64	20.65	1	0.32	1	0.32
01032	316	7	2.22	26	8.23	4	1.27	39	12.34	44	13.92	7	2.22	10	3.16	35	11.08	50	15.82	2	0.63	1	0.32	83	26.27	6	1.90	2	0.63
01033	351	18	5.13	19	5.41	8	2.28	44	12.54	71	20.23	7	1.99	15	4.27	30	8.55	38	10.83	1	0.28	1	0.28	89	25.36	8	2.28	2	0.57
01034	232	8	3.45	9	3.88	5	2.16	41	17.67	15	6.47	5	2.16	10	4.31	23	9.91	42	18.10	1	0.43	0	0	71	30.60	1	0.43	1	0.43
01035	387	26	6.72	23	5.94	10	2.58	41	10.59	55	14.21	6	1.55	28	7.24	46	11.89	41	10.59	4	1.03	1	0.26	104	26.87	0	0	2	0.52
01036	301	10	3.32	25	8.31	4	1.33	45	14.95	44	14.62	6	1.99	15	4.98	24	7.97	35	11.63	1	0.33	1	0.33	84	27.91	4	1.33	3	1.00
01037	303	11	3.63	13	4.29	5	1.65	51	16.83	53	17.49	14	4.62	18	5.94	30	9.90	33	10.89	2	0.66	2	0.66	66	21.78	3	0.99	2	0.66
01038	269	11	4.09	13	4.83	4	1.49	43	15.99	35	13.01	5	1.86	13	4.83	34	12.64	29	10.78	2	0.74	3	1.12	75	27.88	1	0.37	1	0.37
01039	251	14	5.58	7	2.79	7	2.79	29	11.55	40	15.94	6	2.39	27	10.76	28	11.16	36	14.34	2	0.80	0	0	52	20.72	0	0	3	1.20
01040	334	10	2.99	20	5.99	23	6.89	32	9.58	64	19.16	8	2.40	26	7.78	59	17.66	25	7.49	1	0.30	1	0.30	57	17.07	7	2.10	1	0.30
01041	217	4	1.84	10	4.61	6	2.76	47	21.66	19	8.76	0	0	14	6.45	19	8.76	26	11.98	3	1.38	0	0	68	31.34	1	0.46	0	0
01042	99	6	6.06	5	5.05	0	0	20	20.20	9	9.09	1	1.01	6	6.06	11	11.11	22	22.22	2	2.02	1	1.01	14	14.14	0	0	2	2.02
01043	178	5	2.81	15	8.43	8	4.49	24	13.48	23	12.92	3	1.69	7	3.93	25	14.04	27	15.17	0	0	0	0	38	21.35	3	1.69	0	0
01044	260	5	1.92	12	4.62	5	1.92	47	18.08	23	8.85	3	1.15	7	2.69	20	7.69	47	18.08	7	2.69	1	0.38	75	28.85	1	0.38	7	2.69
02001	269	10	3.72	12	4.46	1	0.37	57	21.19	17	6.32	3	1.12	10	3.72	26	9.67	48	17.84	1	0.37	1	0.37	82	30.48	0	0	1	0.37
02002	276	7	2.54	23	8.33	10	3.62	30	10.87	90	32.61	12	4.35	11	3.99	14	5.07	4	1.45	0	0	0	0	71	25.72	2	0.72	2	0.72
02003	306	5	1.63	24	7.84	3	0.98	33	10.78	61	19.93	8	2.61	11	3.59	17	5.56	44	14.38	6	1.96	1	0.33	90	29.41	3	0.98	0	0
02004	228	7	3.07	10	4.39	1	0.44	39	17.11	20	8.77	4	1.75	1	0.44	29	12.72	31	13.60	3	1.32	0	0	81	35.53	1	0.44	1	0.44
02005	314	6	1.91	24	7.64	5	1.59	44	14.01	46	14.65	6	1.91	20	6.37	23	7.32	42	13.38	1	0.32	3	0.96	93	29.62	1	0.32	0	0
02006	264	13	4.92	17	6.44	7	2.65	33	12.50	23	8.71	8	3.03	11	4.17	32	12.12	46	17.42	2	0.76	4	1.52	63	23.86	1	0.38	4	1.52
02007	250	7	2.80	12	4.80	9	3.60	19	7.60	50	20.00	4	1.60	8	3.20	29	11.60	33	13.20	5	2.00	0	0	72	28.80	1	0.40	1	0.40
02008	283	16	5.65	10	3.53	5	1.77	33	11.66	41	14.49	4	1.41	18	6.36	28	9.89	40	14.13	3	1.06	4	1.41	79	27.92	0	0	2	0.71
02009	224	11	4.91	11	4.91	14	6.25	12	5.36	63	28.13	5	2.23	15	6.70	24	10.71	10	4.46	4	1.79	0	0	51	22.77	2	0.89	2	0.89
02010	343	12	3.50	29	8.45	3	0.87	26	7.58	160	46.65	10	2.92	20	5.83	14	4.08	5	1.46	1	0.29	0	0	58	16.91	5	1.46	0	0
02011	375	15	4.00	30	8.00	3	0.80	37	9.87	155	41.33	4	1.07	18	4.80	30	8.00	7	1.87	0	0	1	0.27	73	19.47	1	0.27	1	0.27
02012	311	11	3.54	21	6.75	32	10.29	45	14.47	77	24.76	4	1.29	9	2.89	19	6.11	14	4.50	1	0.32	1	0.32	74	23.79	2	0.64	1	0.32
02013	320	13	4.06	33	10.31	7	2.19	58	18.13	101	31.56	4	1.25	20	6.25	10	3.13	6	1.88	1	0.31	0	0	64	20.00	3	0.94	0	0
02014	353	12	3.40	20	5.67	12	3.40	48	13.60	44	12.46	7	1.98	11	3.12	27	7.65	57	16.15	2	0.57	3	0.85	105	29.75	4	1.13	1	0.28
02015	292	18	6.16	21	7.19	10	3.42	53	18.15	39	13.36	2	0.68	8	2.74	28	9.59	28	9.59	0	0	2	0.68	82	28.08	0	0	1	0.34
02016	240	8	3.33	13	5.42	6	2.50	42	17.50	31	12.92	3	1.25	8	3.33	26	10.83	18	7.50	2	0.83	1	0.42	71	29.58	5	2.08	6	2.50
02017	385	18	4.68	20	5.19	8	2.08	47	12.21	48	12.47	9	2.34	12	3.12	24	6.23	44	11.43	2	0.52	0	0	145	37.66	3	0.78	5	1.30
02018	290	6	2.07	22	7.59	7	2.41	49	16.90	100	34.48	10	3.45	10	3.45	23	7.93	15	5.17	0	0	1	0.34	46	15.86	1	0.34	0	0
02019	298	3	1.01	21	7.05	9	3.02	36	12.08	125	41.95	8	2.68	14	4.70	16	5.37	9	3.02	0	0	1	0.34	52	17.45	2	0.67	2	0.67
02020	256	5	1.95	20	7.81	2	0.78	18	7.03	71	27.73	5	1.95	12	4.69	20	7.81	16	6.25	0	0	0	0	77	30.08	5	1.95	5	1.95
02021	337	8	2.37	18	5.34	5	1.48	57	16.91	42	12.46	11	3.26	15	4.45	30	8.90	51	15.13	0	0	1	0.30	97	28.78	0	0	2	0.59
02022	368	6	1.63	36	9.78	10	2.72	39	10.60	118	32.07	14	3.80	12	3.26	33	8.97	16	4.35	1	0.27	0	0	80	21.74	1	0.27	2	0.54
02023	301	2	0.66	20	6.64	2	0.66	26	8.64	160	53.16	6	1.99	16	5.32	16	5.32	3	1.00	0	0	1	0.33	49	16.28	0	0	0	0
02024	309	12	3.88	24	7.77	11	3.56	42	13.59	95	30.74	9	2.91	11	3.56	26	8.41	13	4.21	0	0	3	0.97	59	19.09	1	0.32	3	0.97
02025	315	8	2.54	23	7.30	3	0.95	43	13.65	56	17.78	4	1.27	12	3.81	28	8.89	36	11.43	0	0	4	1.27	92	29.21	6	1.90	0	0
02026	264	11	4.17	20	7.58	15	5.68	29	10.98	83	31.44	8	3.03	10	3.79	17	6.44	9	3.41	3	1.14	0	0	54	20.45	2	0.76	3	1.14
02027	310	10	3.23	28	9.03	13	4.19	30	9.68	104	33.55	18	5.81	12	3.87	22	7.10	9	2.90	3	0.97	1	0.32	53	17.10	3	0.97	4	1.29
02028	308	15	4.87	27	8.77	8	2.60	36	11.69	76	24.68	8	2.60	21	6.82	21	6.82	16	5.19	0	0	2	0.65	75	24.35	1	0.32	2	0.65
02029	297	9	3.03	15	5.05	0	0	20	6.73	129	43.43	16	5.39	15	5.05	15	5.05	10	3.37	1	0.34	5	1.68	61	20.54	0	0	1	0.34
02030	257	5	1.95	26	10.12	4	1.56	23	8.95	88	34.24	18	7.00	15	5.84	17	6.61	3	1.17	1	0.39	0	0	55	21.40	2	0.78	0	0
02031	410	11	2.68	34	8.29	10	2.44	38	9.27	174	42.44	12	2.93	24	5.85	22	5.37	8	1.95	0	0	1	0.24	74	18.05	1	0.24	1	0.24
02032	184	10	5.43	13	7.07	3	1.63	24	13.04	38	20.65	11	5.98	5	2.72	15	8.15	14	7.61	1	0.54	1	0.54	48	26.09	1	0.54	0	0
