Precinct	Register Voters	Ballots Cast	Turnout %
01001	967	333	34.44
01002	875	251	28.69
01003	945	312	33.02
01004	986	307	31.14
01005	924	289	31.28
01006	889	294	33.07
01007	599	235	39.23
01008	823	287	34.87
01009	687	290	42.21
01010	1087	298	27.41
01011	950	326	34.32
01012	1050	362	34.48
01013	422	161	38.15
01014	790	301	38.10
01015	809	265	32.76
01016	1003	363	36.19
01017	791	287	36.28
01018	921	309	33.55
01019	956	348	36.40
01020	698	240	34.38
01021	1140	317	27.81
01022	586	201	34.30
01023	1103	429	38.89
01024	967	253	26.16
01025	909	270	29.70
01026	757	199	26.29
01027	949	298	31.40
01028	339	112	33.04
01029	987	402	40.73
01030	986	336	34.08
01031	901	316	35.07
01032	838	317	37.83
01033	1011	354	35.01
01034	688	233	33.87
01035	1102	389	35.30
01036	904	303	33.52
01037	894	304	34.00
01038	854	269	31.50
01039	820	253	30.85
01040	881	339	38.48
01041	514	218	42.41
01042	288	100	34.72
01043	581	179	30.81
01044	691	261	37.77
02001	1015	269	26.50
02002	621	276	44.44
02003	992	307	30.95
02004	815	229	28.10
02005	1012	316	31.23
02006	871	265	30.42
02007	1538	251	16.32
02008	1110	283	25.50
02009	780	225	28.85
02010	668	344	51.50
02011	868	376	43.32
02012	804	311	38.68
02013	691	321	46.45
02014	894	354	39.60
02015	886	295	33.30
02016	874	240	27.46
02017	988	386	39.07
02018	800	291	36.38
02019	600	300	50.00
02020	1056	256	24.24
02021	908	337	37.11
02022	866	368	42.49
02023	539	301	55.84
02024	761	310	40.74
02025	942	315	33.44
02026	847	266	31.40
02027	772	312	40.41
02028	896	309	34.49
02029	961	299	31.11
02030	719	257	35.74
02031	961	411	42.77
02032	699	184	26.32
02033	1121	501	44.69
02034	621	339	54.59
02035	1125	305	27.11
02036	907	319	35.17
02037	718	317	44.15
02038	737	316	42.88
02039	677	241	35.60
02040	1238	308	24.88
02041	1008	225	22.32
02042	904	264	29.20
02043	1163	354	30.44
02044	487	198	40.66
02045	1025	333	32.49
02046	510	154	30.20
03001	1256	409	32.56
03002	838	468	55.85
03003	883	325	36.81
03004	871	378	43.40
03005	689	189	27.43
03006	1025	417	40.68
03007	561	273	48.66
03008	846	239	28.25
03009	886	342	38.60
03010	561	134	23.89
03011	849	302	35.57
03012	729	386	52.95
03013	879	414	47.10
03014	923	328	35.54
03015	850	265	31.18
03016	824	260	31.55
03017	1189	359	30.19
03018	1424	399	28.02
03019	925	396	42.81
03020	899	332	36.93
03021	898	408	45.43
03022	1173	410	34.95
03023	882	256	29.02
03024	805	269	33.42
03025	1415	564	39.86
03026	843	464	55.04
03027	1109	426	38.41
03028	609	280	45.98
03029	1089	279	25.62
03030	767	296	38.59
03031	956	350	36.61
03032	982	372	37.88
03033	1022	354	34.64
03034	1083	390	36.01
03035	923	139	15.06
03036	645	154	23.88
03037	825	271	32.85
03038	623	324	52.01
03039	1387	450	32.44
03040	922	258	27.98
03041	829	300	36.19
04001	1129	463	41.01
04002	985	401	40.71
04003	777	264	33.98
04004	1113	460	41.33
04005	777	372	47.88
04006	945	429	45.40
04007	992	466	46.98
04008	881	389	44.15
04009	823	476	57.84
04010	949	439	46.26
04011	945	303	32.06
04012	1007	363	36.05
04013	1044	280	26.82
04014	860	349	40.58
04015	977	413	42.27
04016	1446	472	32.64
04017	994	428	43.06
04018	864	380	43.98
04019	888	211	23.76
04020	740	364	49.19
04021	1056	338	32.01
04022	803	390	48.57
04023	987	470	47.62
04024	789	324	41.06
04025	891	385	43.21
04026	829	322	38.84
04027	1056	429	40.63
04028	726	299	41.18
04029	851	295	34.67
04030	1267	403	31.81
04031	701	306	43.65
04032	945	374	39.58
04033	869	367	42.23
04034	802	328	40.90
04035	1058	400	37.81
04036	952	396	41.60
04037	1526	512	33.55
04038	821	375	45.68
05001	809	233	28.80
05002	691	192	27.79
05003	838	371	44.27
05004	964	405	42.01
05005	777	288	37.07
05006	704	252	35.80
05007	728	354	48.63
05008	734	377	51.36
05009	822	428	52.07
05010	809	227	28.06
05011	745	392	52.62
05012	665	191	28.72
05013	807	254	31.47
05014	596	302	50.67
05015	702	304	43.30
05016	894	269	30.09
05017	833	277	33.25
05018	680	337	49.56
05019	692	374	54.05
05020	803	409	50.93
05021	736	346	47.01
05022	750	444	59.20
05023	1221	593	48.57
05024	834	372	44.60
05025	742	317	42.72
05026	859	335	39.00
05027	990	342	34.55
05028	868	335	38.59
05029	864	341	39.47
05030	705	210	29.79
05031	752	238	31.65
05032	802	419	52.24
05033	861	347	40.30
05034	789	404	51.20
05035	841	419	49.82
05036	646	193	29.88
05037	809	454	56.12
05038	830	283	34.10
05039	593	301	50.76
05040	639	271	42.41
05041	354	243	68.64
06001	678	312	46.02
06002	692	269	38.87
06003	691	321	46.45
06004	650	196	30.15
06005	702	150	21.37
06006	713	301	42.22
06007	722	217	30.06
06008	689	274	39.77
06009	816	210	25.74
06010	647	154	23.80
06011	719	208	28.93
06012	719	157	21.84
06013	567	205	36.16
06014	754	242	32.10
06015	896	186	20.76
06016	698	308	44.13
06017	693	161	23.23
06018	692	178	25.72
06019	724	240	33.15
06020	639	131	20.50
06021	626	117	18.69
06022	613	148	24.14
06023	576	111	19.27
06024	543	134	24.68
06025	514	115	22.37
06026	711	154	21.66
06027	638	131	20.53
06028	562	126	22.42
06029	665	286	43.01
06030	752	217	28.86
06031	682	278	40.76
06032	695	246	35.40
06033	683	252	36.90
06034	686	265	38.63
06035	620	242	39.03
06036	687	320	46.58
06037	646	307	47.52
06038	701	286	40.80
06039	700	199	28.43
06040	690	232	33.62
06041	686	262	38.19
06042	788	229	29.06
