Precinct	Votes	votes|Stephanie D. Coleman	pct|Stephanie D. Coleman	votes|Toni L. Foulkes	pct|Toni L. Foulkes
16001	181	131	72.38	50	27.62
16002	175	118	67.43	57	32.57
16003	154	105	68.18	49	31.82
16004	166	113	68.07	53	31.93
16005	115	87	75.65	28	24.35
16006	184	108	58.70	76	41.30
16007	168	123	73.21	45	26.79
16008	99	49	49.49	50	50.51
16009	184	126	68.48	58	31.52
16010	167	128	76.65	39	23.35
16011	151	103	68.21	48	31.79
16012	136	100	73.53	36	26.47
16013	112	72	64.29	40	35.71
16014	155	121	78.06	34	21.94
16015	201	146	72.64	55	27.36
16016	205	108	52.68	97	47.32
16017	132	78	59.09	54	40.91
16018	192	111	57.81	81	42.19
16019	160	116	72.50	44	27.50
16020	133	92	69.17	41	30.83
16021	158	111	70.25	47	29.75
16022	144	95	65.97	49	34.03
16023	137	90	65.69	47	34.31
16024	115	73	63.48	42	36.52
16025	224	167	74.55	57	25.45
16026	184	148	80.43	36	19.57
16027	151	89	58.94	62	41.06
16028	218	109	50.00	109	50.00
16029	160	115	71.88	45	28.13
16030	150	84	56.00	66	44.00
16031	221	129	58.37	92	41.63
16032	126	67	53.17	59	46.83
16033	159	116	72.96	43	27.04
16034	155	103	66.45	52	33.55
16035	178	100	56.18	78	43.82
16036	130	91	70.00	39	30.00
