Precinct	Votes	votes|Jeanette B Taylor	pct|Jeanette B Taylor	votes|Nicole J. Johnson	pct|Nicole J. Johnson
20001	271	200	73.80	71	26.20
20002	105	64	60.95	41	39.05
20003	208	145	69.71	63	30.29
20004	105	65	61.90	40	38.10
20005	260	161	61.92	99	38.08
20006	108	41	37.96	67	62.04
20007	217	149	68.66	68	31.34
20008	253	170	67.19	83	32.81
20009	382	222	58.12	160	41.88
20010	158	113	71.52	45	28.48
20011	308	179	58.12	129	41.88
20012	163	86	52.76	77	47.24
20013	293	116	39.59	177	60.41
20014	140	89	63.57	51	36.43
20015	147	92	62.59	55	37.41
20016	284	172	60.56	112	39.44
20017	132	80	60.61	52	39.39
20018	167	120	71.86	47	28.14
20019	239	157	65.69	82	34.31
20020	112	77	68.75	35	31.25
20021	172	87	50.58	85	49.42
20022	363	163	44.90	200	55.10
20023	246	155	63.01	91	36.99
20024	295	199	67.46	96	32.54
20025	191	109	57.07	82	42.93
20026	257	138	53.70	119	46.30
20027	126	66	52.38	60	47.62
20028	160	109	68.13	51	31.88
20029	292	147	50.34	145	49.66
20030	109	42	38.53	67	61.47
20031	277	192	69.31	85	30.69
20032	227	110	48.46	117	51.54
20033	156	105	67.31	51	32.69
20034	355	241	67.89	114	32.11
20035	112	78	69.64	34	30.36
20036	70	38	54.29	32	45.71
20037	66	34	51.52	32	48.48
20038	88	35	39.77	53	60.23
20039	18	11	61.11	7	38.89
