Precinct	Votes	votes|John K. Kozlar	pct|John K. Kozlar	votes|Patrick Daley Thompson	pct|Patrick Daley Thompson	votes|Maureen F. Sullivan	pct|Maureen F. Sullivan
11001	318	83	26.10	157	49.37	78	24.53
11002	31	12	38.71	9	29.03	10	32.26
11003	187	80	42.78	50	26.74	57	30.48
11004	279	74	26.52	150	53.76	55	19.71
11005	272	81	29.78	97	35.66	94	34.56
11006	236	51	21.61	78	33.05	107	45.34
11007	174	35	20.11	86	49.43	53	30.46
11008	244	78	31.97	109	44.67	57	23.36
11009	253	77	30.43	118	46.64	58	22.92
11010	273	90	32.97	154	56.41	29	10.62
11011	303	96	31.68	124	40.92	83	27.39
11012	566	431	76.15	127	22.44	8	1.41
11013	489	301	61.55	166	33.95	22	4.50
11014	172	64	37.21	99	57.56	9	5.23
11015	121	34	28.10	63	52.07	24	19.83
11016	218	72	33.03	102	46.79	44	20.18
11017	289	107	37.02	93	32.18	89	30.80
11018	266	105	39.47	141	53.01	20	7.52
11019	331	97	29.31	144	43.50	90	27.19
11020	233	85	36.48	115	49.36	33	14.16
11021	473	125	26.43	304	64.27	44	9.30
11022	385	171	44.42	158	41.04	56	14.55
11023	201	69	34.33	121	60.20	11	5.47
11024	459	96	20.92	330	71.90	33	7.19
11025	295	74	25.08	153	51.86	68	23.05
11026	412	132	32.04	215	52.18	65	15.78
11027	101	29	28.71	61	60.40	11	10.89
11028	177	95	53.67	70	39.55	12	6.78
11029	393	113	28.75	245	62.34	35	8.91
11030	139	30	21.58	94	67.63	15	10.79
11031	341	173	50.73	147	43.11	21	6.16
11032	190	38	20.00	143	75.26	9	4.74
11033	199	55	27.64	92	46.23	52	26.13
11034	123	38	30.89	75	60.98	10	8.13
11035	133	30	22.56	94	70.68	9	6.77
11036	136	36	26.47	85	62.50	15	11.03
11037	97	6	6.19	49	50.52	42	43.30
11038	92	36	39.13	26	28.26	30	32.61
