Precinct	Votes	votes|Patrick J. O'Connor	pct|Patrick J. O'Connor	votes|Dianne Daleiden	pct|Dianne Daleiden
40001	206	137	66.50	69	33.50
40002	227	151	66.52	76	33.48
40003	252	133	52.78	119	47.22
40004	168	117	69.64	51	30.36
40005	251	155	61.75	96	38.25
40006	254	130	51.18	124	48.82
40007	285	155	54.39	130	45.61
40008	296	132	44.59	164	55.41
40009	201	146	72.64	55	27.36
40010	234	164	70.09	70	29.91
40011	287	200	69.69	87	30.31
40012	157	97	61.78	60	38.22
40013	276	137	49.64	139	50.36
40014	191	138	72.25	53	27.75
40015	223	150	67.26	73	32.74
40016	272	132	48.53	140	51.47
40017	232	149	64.22	83	35.78
40018	173	109	63.01	64	36.99
40019	314	225	71.66	89	28.34
40020	208	143	68.75	65	31.25
40021	304	138	45.39	166	54.61
40022	219	106	48.40	113	51.60
40023	313	160	51.12	153	48.88
40024	192	141	73.44	51	26.56
40025	254	113	44.49	141	55.51
40026	286	142	49.65	144	50.35
40027	323	185	57.28	138	42.72
40028	276	135	48.91	141	51.09
40029	291	193	66.32	98	33.68
40030	331	247	74.62	84	25.38
40031	279	124	44.44	155	55.56
40032	281	144	51.25	137	48.75
40033	274	136	49.64	138	50.36
40034	259	189	72.97	70	27.03
40035	174	111	63.79	63	36.21
40036	237	123	51.90	114	48.10
40037	247	135	54.66	112	45.34
40038	282	134	47.52	148	52.48
40039	61	45	73.77	16	26.23
