Precinct	Votes	votes|Brendan Reilly	pct|Brendan Reilly
42001	243	243	100.00
42002	143	143	100.00
42003	136	136	100.00
42004	264	264	100.00
42005	118	118	100.00
42006	297	297	100.00
42007	229	229	100.00
42008	207	207	100.00
42009	152	152	100.00
42010	160	160	100.00
42011	180	180	100.00
42012	134	134	100.00
42013	307	307	100.00
42014	119	119	100.00
42015	94	94	100.00
42016	155	155	100.00
42017	155	155	100.00
42018	123	123	100.00
42019	213	213	100.00
42020	113	113	100.00
42021	111	111	100.00
42022	82	82	100.00
42023	144	144	100.00
42024	187	187	100.00
42025	183	183	100.00
42026	179	179	100.00
42027	191	191	100.00
42028	280	280	100.00
42029	146	146	100.00
42030	222	222	100.00
42031	155	155	100.00
42032	116	116	100.00
42033	157	157	100.00
42034	214	214	100.00
42035	245	245	100.00
42036	165	165	100.00
42037	85	85	100.00
42038	133	133	100.00
42039	110	110	100.00
42040	169	169	100.00
42041	159	159	100.00
42042	196	196	100.00
