Precinct	Votes	votes|Ameya Pawar	pct|Ameya Pawar	votes|Rory A. Fiedler	pct|Rory A. Fiedler
47001	114	95	83.33	19	16.67
47002	337	295	87.54	42	12.46
47003	369	290	78.59	79	21.41
47004	293	238	81.23	55	18.77
47005	253	222	87.75	31	12.25
47006	221	184	83.26	37	16.74
47007	213	179	84.04	34	15.96
47008	283	236	83.39	47	16.61
47009	173	146	84.39	27	15.61
47010	266	238	89.47	28	10.53
47011	167	131	78.44	36	21.56
47012	287	261	90.94	26	9.06
47013	260	214	82.31	46	17.69
47014	266	211	79.32	55	20.68
47015	265	211	79.62	54	20.38
47016	307	251	81.76	56	18.24
47017	234	175	74.79	59	25.21
47018	226	185	81.86	41	18.14
47019	245	197	80.41	48	19.59
47020	285	217	76.14	68	23.86
47021	254	205	80.71	49	19.29
47022	313	246	78.59	67	21.41
47023	223	187	83.86	36	16.14
47024	200	174	87.00	26	13.00
47025	224	185	82.59	39	17.41
47026	243	208	85.60	35	14.40
47027	217	179	82.49	38	17.51
47028	303	256	84.49	47	15.51
47029	260	215	82.69	45	17.31
47030	256	207	80.86	49	19.14
47031	244	209	85.66	35	14.34
47032	274	239	87.23	35	12.77
47033	219	200	91.32	19	8.68
47034	306	270	88.24	36	11.76
47035	243	200	82.30	43	17.70
47036	291	250	85.91	41	14.09
47037	283	233	82.33	50	17.67
47038	249	217	87.15	32	12.85
47039	284	248	87.32	36	12.68
47040	320	247	77.19	73	22.81
47041	288	246	85.42	42	14.58
47042	234	194	82.91	40	17.09
47043	214	185	86.45	29	13.55
47044	225	176	78.22	49	21.78
47045	271	216	79.70	55	20.30
47046	257	185	71.98	72	28.02
47047	246	184	74.80	62	25.20
47048	44	37	84.09	7	15.91
